filename,abstract,aspect_annotation,aspects
it-1367-1-ru.txt,"Необходимость разработки формата приложений на основе современных технологий обусловлена актуальностью оптимального функционирования системы экологического мониторинга. Данная система состоит из несколько взаимодействующих модулей. Одна из них «модуль усвоения данных», которая моделирует процесс с применением алгоритма усвоения данных. Для оптимального моделирования необходимо исходные файлы форматом Network Common Data Form (NetCDF), который будет формироваться с разработанного приложения. В работе дается характеристика, особенности, структура формата NetCDF, представлены существующие утилиты и программные обеспечения, инструменты, программы визуализации по работе с данным форматом. Анализируются их назначение, функции. Приведены созданные файлы NetCDF с помощью математической программы Scilab, которая является альтернативой MATLAB. В работе представлена разработанная база данных по загрязнителям атмосферного воздуха. Описана структура основных таблиц : поля, тип данных, описание поля, свойства поля. Для создания базы данных использовалась система управления базами данных (СУБД) MS SQL Приведена реляционная модель созданной базы данных. Показано взаимодействие основных составляющих информационно-моделирующей системы.","Необходимость разработки формата приложений на основе современных технологий обусловлена актуальностью [оптимального функционирования системы экологического мониторинга|F1|AIM]. Данная система состоит из несколько взаимодействующих модулей. Одна из них «модуль усвоения данных», которая моделирует процесс с применением [алгоритма усвоения данных|F2|METHOD]. Для оптимального моделирования необходимо [исходные файлы форматом Network Common Data Form (NetCDF)|F3|MATERIAL], который будет формироваться с разработанного приложения. В работе [дается характеристика, особенности, структура формата NetCDF|F4|TASK], [представлены существующие утилиты и программные обеспечения, инструменты, программы визуализации по работе с данным форматом|F5|TASK]. Анализируются их назначение, функции. Приведены созданные [файлы NetCDF|F6|MATERIAL] с помощью [математической программы Scilab|F7|TOOL], которая является альтернативой [MATLAB|F8|TOOL]. В работе [представлена разработанная база данных по загрязнителям атмосферного воздуха|F9|RESULT]. [Описана структура основных таблиц|F10|RESULT] : поля, тип данных, описание поля, свойства поля. [Для создания базы данных|F11|TASK] использовалась [система управления базами данных (СУБД) MS SQL|F12|TOOL] [Приведена реляционная модель созданной базы данных.|F13|RESULT] [Показано взаимодействие основных составляющих информационно-моделирующей системы.|F14|RESULT]","F1 AIM оптимального функционирования системы экологического мониторинга
F2 METHOD алгоритма усвоения данных
F3 MATERIAL исходные файлы форматом Network Common Data Form (NetCDF)
F4 TASK дается характеристика, особенности, структура формата NetCDF
F5 TASK представлены существующие утилиты и программные обеспечения, инструменты, программы визуализации по работе с данным форматом
F6 MATERIAL файлы NetCDF
F7 TOOL математической программы Scilab
F8 TOOL MATLAB
F9 RESULT представлена разработанная база данных по загрязнителям атмосферного воздуха
F10 RESULT Описана структура основных таблиц
F11 TASK Для создания базы данных
F12 TOOL система управления базами данных (СУБД) MS SQL
F13 RESULT Приведена реляционная модель созданной базы данных.
F14 RESULT Показано взаимодействие основных составляющих информационно-моделирующей системы.
"
it-1369-1-ru.txt,"Стремительное распространение социальных онлайн-сервисов и развитие технологий Больших Данных инициировали интерес к использованию сведений из социальных сетей в различных отраслях. Сегодня приобретают популярность технологии ""мониторинга социальных сетей""(social listening) и контент-анализа. Данные сервисы в основном представлены зарубежными разработками, лингвистические словари, которых построены на английском языке, и они плохо адаптированы под русский и казахский языки. В представленной статье описан процесс проектирования и разработки информационной системы для ""мониторинга социальных сетей адаптированной под специфику казахского и русского языка, а также форм сленгового общения, с целью определения эмоционального окраса пользовательского восприятия контента, и оценки социального самочувствия в стране/регионе. В работе представлен алгоритм информационной системы с описанием функциональных возможностей, а также методы и модели. Кроме этого, рассматривается продукционная модель оценки социального самочувствия и модель семантического профиля восприятия обществом событий. Проведен сравнительный анализ разработок в вопросах мониторинга мнений для выявления сильных и слабых сторон. Информационная система даст возможность проводить мониторинг СМИ, социальных сетей, анализа управления репутацией, анализа пользовательского восприятия контента сети Интернет на региональном, республиканском и международном уровне.","Стремительное распространение социальных онлайн-сервисов и развитие технологий Больших Данных инициировали интерес к использованию сведений из социальных сетей в различных отраслях. Сегодня приобретают популярность [технологии ""мониторинга социальных сетей""(social listening) и контент-анализа|F1|METHOD]. Данные сервисы в основном представлены зарубежными разработками, лингвистические словари, которых построены на английском языке, и они плохо адаптированы под русский и казахский языки. В представленной статье [описан процесс проектирования и разработки информационной системы для ""мониторинга социальных сетей адаптированной под специфику казахского и русского языка, а также форм сленгового общения|F2|RESULT], с целью [определения эмоционального окраса пользовательского восприятия контента, и оценки социального самочувствия в стране/регионе|F3|AIM]. В работе [представлен алгоритм информационной системы с описанием функциональных возможностей, а также методы и модели|F4|RESULT]. Кроме этого, рассматривается [продукционная модель оценки социального самочувствия|F5|METHOD] и [модель семантического профиля восприятия обществом событий|F6|METHOD]. [Проведен сравнительный анализ разработок в вопросах мониторинга мнений для выявления сильных и слабых сторон|F7|RESULT]. [Информационная система даст возможность проводить мониторинг СМИ, социальных сетей, анализа управления репутацией, анализа пользовательского восприятия контента сети Интернет на региональном, республиканском и международном уровне|F8|USAGE].","F1 METHOD технологии ""мониторинга социальных сетей""(social listening) и контент-анализа
F2 RESULT описан процесс проектирования и разработки информационной системы для ""мониторинга социальных сетей адаптированной под специфику казахского и русского языка, а также форм сленгового общения
F3 AIM определения эмоционального окраса пользовательского восприятия контента, и оценки социального самочувствия в стране/регионе
F4 RESULT представлен алгоритм информационной системы с описанием функциональных возможностей, а также методы и модели
F5 METHOD продукционная модель оценки социального самочувствия
F6 METHOD модель семантического профиля восприятия обществом событий
F7 RESULT Проведен сравнительный анализ разработок в вопросах мониторинга мнений для выявления сильных и слабых сторон
F8 USAGE Информационная система даст возможность проводить мониторинг СМИ, социальных сетей, анализа управления репутацией, анализа пользовательского восприятия контента сети Интернет на региональном, республиканском и международном уровне
"
it-1371-1-ru.txt,"В настоящее время в связи с резким увеличением объема информации на естественных языках в интернете и социальных сетях исследование и разработки в области вычислительной лингвистики становятся чрезвычайно актуальными. Как известно, вычислительная лингвистика является новым научным направлением и входит в состав вычислительной науки - информатики. Вычислительная лингвистика включает в себе компьютерную обработку естественных языков (ОЕЯ) – Natural Language Proccesing (NLP). Создание унифицированной системы разметки для тюркских языков (UniTurk) является актуальной задачей для обработки тюркских языков. Единая система разметок позволит унифицировать разметки, облегчить их понимание и использовать общее программное обеспечение, а также проводить различные исследования по лингво-статистическому сравнительному анализу среди тюркских языков. В статье представлены некоторые результаты, полученные в ходе выполнения запланированных работ над международным проектом по созданию многоязычной онтологии и единого метаязыка морфологии тюркских языков. С помощью онтологических моделей формализованы морфологические правила тюркских (казахского, киргизского, татарского, турецкого и узбекского) языков. Результат этих работ могут быть использованы для решения задач NLP, например, для разметка корпусов, в системах извлечения знаний, системах информационного поиска, машинного перевода и т.д.","В настоящее время в связи с резким увеличением объема информации на естественных языках в интернете и социальных сетях исследование и разработки в области вычислительной лингвистики становятся чрезвычайно актуальными. Как известно, вычислительная лингвистика является новым научным направлением и входит в состав вычислительной науки - информатики. Вычислительная лингвистика включает в себе компьютерную обработку естественных языков (ОЕЯ) – Natural Language Proccesing (NLP). [Создание унифицированной системы разметки для тюркских языков (UniTurk)|F1|TASK] является актуальной задачей для обработки тюркских языков. [Единая система разметок позволит унифицировать разметки, облегчить их понимание и использовать общее программное обеспечение, а также проводить различные исследования по лингво-статистическому сравнительному анализу среди тюркских языков|F2|USAGE]. В статье представлены некоторые результаты, полученные в ходе выполнения запланированных работ над международным проектом по [созданию многоязычной онтологии и единого метаязыка морфологии тюркских языков|F3|AIM]. С помощью [онтологических моделей|F4|METHOD] [формализованы морфологические правила тюркских (казахского, киргизского, татарского, турецкого и узбекского) языков|F5|RESULT]. Результат этих работ могут быть [использованы для решения задач NLP, например, для разметка корпусов, в системах извлечения знаний, системах информационного поиска, машинного перевода|F6|USAGE] и т.д.","F1 TASK Создание унифицированной системы разметки для тюркских языков (UniTurk)
F2 USAGE Единая система разметок позволит унифицировать разметки, облегчить их понимание и использовать общее программное обеспечение, а также проводить различные исследования по лингво-статистическому сравнительному анализу среди тюркских языков
F3 AIM созданию многоязычной онтологии и единого метаязыка морфологии тюркских языков
F4 METHOD онтологических моделей
F5 RESULT формализованы морфологические правила тюркских (казахского, киргизского, татарского, турецкого и узбекского) языков
F6 USAGE использованы для решения задач NLP, например, для разметка корпусов, в системах извлечения знаний, системах информационного поиска, машинного перевода
"
it-1558-3-ru.txt,"Для математической модели трехсекторного экономического кластера ставится задача оптимального управления на бесконечном интервале времени. Рассматривается задача оптимальной стабилизации для одного класса нелинейных систем с коэффициентами, зависящими от состояния объекта управления с ограничениями на управления. Найдено нелинейное стабилизирующее управление с учетом ограничений на управление, которое зависит от состояния системы и текущего момента времени. Полученные результаты для нелинейной системы, используются при конструировании управляющих параметров для трехсекторного экономического кластера на бесконечном интервале времени. Для рассматриваемого примера определены оптимальное распределение трудовых и инвестиционных ресурсов, которые удовлетворяют балансовым соотношениям. Приведенный пример иллюстрирует использование предлагаемого метода управления нелинейной системы.","[Для математической модели трехсекторного экономического кластера ставится задача оптимального управления на бесконечном интервале времени|F1|AIM]. Рассматривается [задача оптимальной стабилизации для одного класса нелинейных систем с коэффициентами, зависящими от состояния объекта управления с ограничениями на управления|F2|TASK]. [Найдено нелинейное стабилизирующее управление с учетом ограничений на управление, которое зависит от состояния системы и текущего момента времени|F3|RESULT]. [Полученные результаты для нелинейной системы, используются при конструировании управляющих параметров для трехсекторного экономического кластера на бесконечном интервале времени|F4|USAGE]. Для рассматриваемого примера [определены оптимальное распределение трудовых и инвестиционных ресурсов, которые удовлетворяют балансовым соотношениям|F5|RESULT]. Приведенный пример иллюстрирует использование предлагаемого [метода управления нелинейной системы|F6|METHOD].","F1 AIM Для математической модели трехсекторного экономического кластера ставится задача оптимального управления на бесконечном интервале времени
F2 TASK задача оптимальной стабилизации для одного класса нелинейных систем с коэффициентами, зависящими от состояния объекта управления с ограничениями на управления
F3 RESULT Найдено нелинейное стабилизирующее управление с учетом ограничений на управление, которое зависит от состояния системы и текущего момента времени
F4 USAGE Полученные результаты для нелинейной системы, используются при конструировании управляющих параметров для трехсекторного экономического кластера на бесконечном интервале времени
F5 RESULT определены оптимальное распределение трудовых и инвестиционных ресурсов, которые удовлетворяют балансовым соотношениям
F6 METHOD метода управления нелинейной системы
"
it-1560-3-ru.txt,"В статье описаны методы применения аутентификации на основе второго фактора. Рассмотрен пример двухфакторной аутентификации с использованием мобильных устройств в качестве идентификаторов и генерации временного пароля на основе хеш-функции стандартов шифрования. Для автоматизированной системы управления разработаны модель двухфакторной аутентификации и последовательный алгоритм генерации временного пароля с использованием математических функций. Математическая функция выбирается из массива функций. Для защиты вскрытия одноразового пароля считывается секретная строка, состоящая из последовательности символов, которая будет генерироваться случайным образом. Осуществлена программная реализации напрограммной платформе Node.js с использованием языка программирования JavaScript, а так же фреймворков и подключенных системных библиотек. Использована документоориентированная система управления базами данных с открытым исходным кодом MongoDB, для хранения и обработки информации. Проведен анализ программной реализации предложенного алгоритма.","В статье [описаны методы применения аутентификации на основе второго фактора|F1|AIM]. Рассмотрен пример [двухфакторной аутентификации|F2|METHOD] с использованием [мобильных устройств в качестве идентификаторов|F3|TOOL] и [генерации временного пароля|F4|TASK] на основе [хеш-функции стандартов шифрования|F5|METHOD]. [Для автоматизированной системы управления разработаны модель двухфакторной аутентификации и последовательный алгоритм генерации временного пароля с использованием математических функций|F6|RESULT]. Математическая функция выбирается из массива функций. Для защиты вскрытия одноразового пароля считывается секретная строка, состоящая из последовательности символов, которая будет генерироваться случайным образом. Осуществлена [программная реализации|F7|TASK] напрограммной [платформе Node.js с использованием языка программирования JavaScript, а так же фреймворков и подключенных системных библиотек|F8|TOOL]. [Использована документоориентированная система управления базами данных с открытым исходным кодом MongoDB|F9|TOOL], [для хранения и обработки информации|F10|TASK]. [Проведен анализ программной реализации предложенного алгоритма|F11|RESULT].","F1 AIM описаны методы применения аутентификации на основе второго фактора
F2 METHOD двухфакторной аутентификации
F3 TOOL мобильных устройств в качестве идентификаторов
F4 TASK генерации временного пароля
F5 METHOD хеш-функции стандартов шифрования
F6 RESULT Для автоматизированной системы управления разработаны модель двухфакторной аутентификации и последовательный алгоритм генерации временного пароля с использованием математических функций
F7 TASK программная реализации
F8 TOOL платформе Node.js с использованием языка программирования JavaScript, а так же фреймворков и подключенных системных библиотек
F9 TOOL Использована документоориентированная система управления базами данных с открытым исходным кодом MongoDB
F10 TASK для хранения и обработки информации
F11 RESULT Проведен анализ программной реализации предложенного алгоритма
"
it-1562-1-ru.txt,"В работе рассматривается метод расчёта кинематики шарнирной конструкции и применение генетического алгоритма для обеспечения требуемой траектории движения заданных точек конструкции. Сначала описаны типы звеньев произвольных шарнирных конструкций, их математическое описание и построение на их основе систем нелинейных уравнений, описывающих кинематику шарнирных конструкций. Полученные нелинейные системы решаются многократным применением метода Ньютона для систем нелинейных уравнений. Построенный алгоритм применяется для расчёта кинематики шарнирной конструкции, представляющей собой модель конечности «кинетических скульптур» Тео Янсена. Целью расчёта является подбор оптимальных параметров конечности, которые позволят применить её для модели робота с четырьмя опорными конечностями. Строится функция приспособленности траектории опорной точки и методом генетического отбора подбирается лучшая траектория, которая обеспечивает прямолинейное движение корпуса робота относительно земли. Теоретические расчёты подкрепляются численным моделированием и визуализацией. В конце статьи приводится график, иллюстрирующий успешное применение разработанной модели. На основе теоретических построений создан реальный прототип шагающего робота с четырьмя конечностями методом 3D печати комплектующих и последующей сборки.","В работе рассматривается [метод расчёта кинематики шарнирной конструкции|F1|METHOD] и применение [генетического алгоритма для обеспечения требуемой траектории движения заданных точек конструкции|F2|METHOD]. Сначала [описаны типы звеньев произвольных шарнирных конструкций|F3|TASK], их [математическое описание и построение на их основе систем нелинейных уравнений, описывающих кинематику шарнирных конструкций|F4|TASK]. Полученные нелинейные системы решаются многократным применением [метода Ньютона для систем нелинейных уравнений|F5|METHOD]. [Построенный алгоритм применяется для расчёта кинематики шарнирной конструкции|F6|USAGE], представляющей собой [модель конечности «кинетических скульптур» Тео Янсена|F7|METHOD]. Целью расчёта является [подбор оптимальных параметров конечности|F8|AIM], которые позволят [применить её для модели робота с четырьмя опорными конечностями|F9|USAGE]. [Строится функция приспособленности траектории опорной точки|F10|TASK] и [методом генетического отбора|F11|METHOD] [подбирается лучшая траектория, которая обеспечивает прямолинейное движение корпуса робота относительно земли|F12|TASK]. Теоретические расчёты подкрепляются численным моделированием и визуализацией. В конце статьи [приводится график, иллюстрирующий успешное применение разработанной модели|F13|RESULT]. На основе теоретических построений [создан реальный прототип шагающего робота с четырьмя конечностями|F14|RESULT] [методом 3D печати комплектующих и последующей сборки|F15|METHOD].","F1 METHOD метод расчёта кинематики шарнирной конструкции
F2 METHOD генетического алгоритма для обеспечения требуемой траектории движения заданных точек конструкции
F3 TASK описаны типы звеньев произвольных шарнирных конструкций
F4 TASK математическое описание и построение на их основе систем нелинейных уравнений, описывающих кинематику шарнирных конструкций
F5 METHOD метода Ньютона для систем нелинейных уравнений
F6 USAGE Построенный алгоритм применяется для расчёта кинематики шарнирной конструкции
F7 METHOD модель конечности «кинетических скульптур» Тео Янсена
F8 AIM подбор оптимальных параметров конечности
F9 USAGE применить её для модели робота с четырьмя опорными конечностями
F10 TASK Строится функция приспособленности траектории опорной точки
F11 METHOD методом генетического отбора
F12 TASK подбирается лучшая траектория, которая обеспечивает прямолинейное движение корпуса робота относительно земли
F13 RESULT приводится график, иллюстрирующий успешное применение разработанной модели
F14 RESULT создан реальный прототип шагающего робота с четырьмя конечностями
F15 METHOD методом 3D печати комплектующих и последующей сборки
"
it-1681-2-ru.txt,"В данной работе было разработано высокопроизводительное приложение для визуализации сеточных моделей больших размеров (около млн. ячеек), с использованием технологий Vulkan. Vulkan – это новый программный интерфейс (API) управляющий графическим процессором (GPU). Vulkan является низкоуровневым API, благодоря чему была использована вся возможность графического процессора такие как: управление памятью и синхронизацией, проверки на ошибки, создание команд выполняемых графическим процессором и т.д. Таким образом, показывает высокую производительность при меньшей нагрузке на центральный процессор. Для работы приложения без прерывания была использована двойная буферизация буфера вершин и многопоточность процессора. Для визуализаций 2D и 3D модели были взяты результаты каждой сотой итерации метода Якоби для решения уравнения Пуассона. Используя вышеуказанные методы, приведены примеры сеточной модели. В результате данной работы был разработан и представлен прототип визуализатора, которую можно использовать для любых результатов численного математического моделирования на структуированных и неструктурированных 3D сетках.","В данной работе было [разработано высокопроизводительное приложение для визуализации сеточных моделей больших размеров (около млн. ячеек)|F1|AIM], с использованием [технологий Vulkan|F2|METHOD]. Vulkan – это новый программный интерфейс (API) управляющий графическим процессором (GPU). [Vulkan является низкоуровневым API|F3|TOOL], благодоря чему была использована вся возможность графического процессора такие как: [управление памятью и синхронизацией|F4|TASK], [проверки на ошибки|F5|TASK], [создание команд выполняемых графическим процессором|F6|TASK] и т.д. Таким образом, показывает высокую производительность при меньшей нагрузке на центральный процессор. [Для работы приложения без прерывания|F7|TASK] была использована [двойная буферизация буфера вершин и многопоточность процессора|F8|METHOD]. [Для визуализаций 2D и 3D модели|F9|TASK] были взяты результаты каждой сотой итерации [метода Якоби для решения уравнения Пуассона|F10|METHOD]. Используя вышеуказанные методы, [приведены примеры сеточной модели|F11|RESULT]. В результате данной работы был [разработан и представлен прототип визуализатора|F12|RESULT], которую можно [использовать для любых результатов численного математического моделирования на структуированных и неструктурированных 3D сетках|F13|USAGE].","F1 AIM разработано высокопроизводительное приложение для визуализации сеточных моделей больших размеров (около млн. ячеек)
F2 METHOD технологий Vulkan
F3 TOOL Vulkan является низкоуровневым API
F4 TASK управление памятью и синхронизацией
F5 TASK проверки на ошибки
F6 TASK создание команд выполняемых графическим процессором
F7 TASK Для работы приложения без прерывания
F8 METHOD двойная буферизация буфера вершин и многопоточность процессора
F9 TASK Для визуализаций 2D и 3D модели
F10 METHOD метода Якоби для решения уравнения Пуассона
F11 RESULT приведены примеры сеточной модели
F12 RESULT разработан и представлен прототип визуализатора
F13 USAGE использовать для любых результатов численного математического моделирования на структуированных и неструктурированных 3D сетках
"
it-1684-1-ru.txt,"Процесс перекачки высоковязкой и высокозастывающей нефти, при транспортировке по магистральным трубопроводам, представляет собой сложную технологическую и техническую задачу, что приводит к необходимости его детального исследования. В работе проведен анализ информационных систем магистральных нефтепроводов и процесса автоматизации горячей перекачки нефти. Основная цель исследования - показать возможные пути создания и проектирования систем контроля и управления транспортировки нефти по магистральному трубопроводу. Современные системы управления разобщены по видам получения, средствам и методам обработки. Все программные пакеты работают автономно и имеют собственный входной формат, за исключением система оперативного диспетчерского контроля и управления, работающая в режиме реального времени. Осуществлен анализ автоматизированных систем управления процессом перекачки нефти. Автоматизация технологических процессов предполагает не только создание автоматизированного рабочего места, но и защиту оборудования от разрушения. В результате проведенного анализа показана необходимость в создании автоматизированной информационной системы, позволяющей структурировать многочисленные данные в процессе перекачки нефти и проводить мониторинг основных технологических параметров нефтепровода. Проведенные исследования могут быть использованы при разработке информационных систем контроля и управления процессом транспортировки нефти и создании программного продукта.","Процесс перекачки высоковязкой и высокозастывающей нефти, при транспортировке по магистральным трубопроводам, представляет собой сложную технологическую и техническую задачу, что приводит к необходимости его детального исследования. В работе [проведен анализ информационных систем магистральных нефтепроводов и процесса автоматизации горячей перекачки нефти|F1|RESULT]. Основная цель исследования - [показать возможные пути создания и проектирования систем контроля и управления транспортировки нефти по магистральному трубопроводу|F2|AIM]. Современные системы управления разобщены по видам получения, средствам и методам обработки. Все программные пакеты работают автономно и имеют собственный входной формат, за исключением система оперативного диспетчерского контроля и управления, работающая в режиме реального времени. [Осуществлен анализ автоматизированных систем управления процессом перекачки нефти|F3|RESULT]. Автоматизация технологических процессов предполагает не только [создание автоматизированного рабочего места|F4|TASK], но и [защиту оборудования от разрушения|F5|TASK]. В результате проведенного анализа [показана необходимость в создании автоматизированной информационной системы, позволяющей структурировать многочисленные данные в процессе перекачки нефти и проводить мониторинг основных технологических параметров нефтепровода|F6|RESULT]. [Проведенные исследования могут быть использованы при разработке информационных систем контроля и управления процессом транспортировки нефти и создании программного продукта|F7|USAGE].","F1 RESULT проведен анализ информационных систем магистральных нефтепроводов и процесса автоматизации горячей перекачки нефти
F2 AIM показать возможные пути создания и проектирования систем контроля и управления транспортировки нефти по магистральному трубопроводу
F3 RESULT Осуществлен анализ автоматизированных систем управления процессом перекачки нефти
F4 TASK создание автоматизированного рабочего места
F5 TASK защиту оборудования от разрушения
F6 RESULT показана необходимость в создании автоматизированной информационной системы, позволяющей структурировать многочисленные данные в процессе перекачки нефти и проводить мониторинг основных технологических параметров нефтепровода
F7 USAGE Проведенные исследования могут быть использованы при разработке информационных систем контроля и управления процессом транспортировки нефти и создании программного продукта
"
