filename,abstract,aspect_annotation,aspects
ling-12226-1-ru.txt,"Целью данной статьи является исследование процессов формирования эстетики социалистического реализма в литературах тюркоязычных народов бывших союзных республик. Социалистический реализм, как направление литературы ХХ века, впервые начал формироваться в русской литературе еще в досоветскую эпоху – в народнической, а позднее в так называемой пролетарской литературе. Политика огосударствления литературы в период установления Советской власти требовала единой эстетической системы в литературе. Из всех существующих систем этим требованиям соответствовало направление, которое в 1932 году председателем Оргкомитета СП СССР  И.Гронским было названо социалистическим реализмом. Формирование эстетики соцреализма в русской литературе было обусловлено и художественными явлениями литературы, и официальной доктриной советского государства. В литературах тюркоязычных народов СССР соцреализм, как литературное направление, возник вследствие политики огосударствления литературы. Многие века литературы этих народов опирались на общетюркский духовно-религиозный и культурно-мифологический фундамент, в период с XI по XIX века развивались в контексте восточной классической литературы.Литературы тюркоязычных народов бывшего СССР в период формирования эстетики соцреализма скорее напоминали эпигонскую литературу. Тем не менее, система образов, фабульные конфигурации произведений, композиционные  и  архитектонические формы  существенно разнились от русской советской литературы. Авторы опирались на традиции устного народного творчества и классической восточной литературы.","Целью данной статьи является [исследование процессов формирования эстетики социалистического реализма в литературах тюркоязычных народов бывших союзных республик|F1|AIM]. Социалистический реализм, как направление литературы ХХ века, впервые начал формироваться в русской литературе еще в досоветскую эпоху – в народнической, а позднее в так называемой пролетарской литературе. Политика огосударствления литературы в период установления Советской власти требовала единой эстетической системы в литературе. Из всех существующих систем этим требованиям соответствовало направление, которое в 1932 году председателем Оргкомитета СП СССР  И.Гронским было названо социалистическим реализмом. Формирование эстетики соцреализма в русской литературе было обусловлено и художественными явлениями литературы, и официальной доктриной советского государства. В литературах тюркоязычных народов СССР соцреализм, как литературное направление, возник вследствие политики огосударствления литературы. Многие века литературы этих народов опирались на общетюркский духовно-религиозный и культурно-мифологический фундамент, в период с XI по XIX века развивались в контексте восточной классической литературы.[Литературы тюркоязычных народов бывшего СССР в период формирования эстетики соцреализма скорее напоминали эпигонскую литературу|F2|RESULT]. Тем не менее, система образов, фабульные конфигурации произведений, композиционные  и  архитектонические формы  существенно разнились от русской советской литературы. [Авторы опирались на традиции устного народного творчества и классической восточной литературы|F3|RESULT].","F1 AIM исследование процессов формирования эстетики социалистического реализма в литературах тюркоязычных народов бывших союзных республик
F2 RESULT Литературы тюркоязычных народов бывшего СССР в период формирования эстетики соцреализма скорее напоминали эпигонскую литературу
F3 RESULT Авторы опирались на традиции устного народного творчества и классической восточной литературы
"
ling-12227-3-ru.txt,"Сегодня, в эпоху культурной глобализации, меняются «маскулинные» качества, присущие мужчинам и стереотипы маскулинности. Заметно, как меняются социальные роли мужчин и женщин. Мужчина должен быть активным в обществе, в семье. Стереотип о том, что мужчина – кормилец семьи, женщина–костяк семьи, сегодня претерпел изменения. Цель работы - анализ стереотипов маскулинности в современной казахской культуре. Что касается научно-практической значимости исследовательской работы, то статья будет необходима для теоретического дополнения работ, написанных в области гендерологии, лингвокультурологии, социолингвистики, когнитивной лингвистики и создания лекций спецкурсов «Лингвокультурология», «Гендерная лингвистика», «Маскулинные исследования», написания курсовых и дипломных работ. С целью анализа маскулинных стереотипов в книге Ж. Кейкина «7777 казахских пословиц и поговорок» были собраны пословицы и поговорки, выражающие маскулинные качества. В ходе исследования были использованы комплексные исследования, контекстный анализ, сравнение и описательные методы. Быть мужчиной или женщиной в любом обществе - это не просто иметь анатомические особенности, это определенные гендерные роли, которые ожидаются от людей. Согласно стереотипам маскулинности, мужчины в казахской культуре являются основными кормильцами семьи, добиваются успеха через трудолюбие, принимают основные решения в обществе, семье и защищают честь своего народа. Стереотип мужчины-лидера, властителя может выйти из рядов гендерных стереотипов. Ценность и практическая значимость работы: согласно стереотипам маскулинности, общество ожидает от мужчины определенного набора действий и качеств. Мальчик воспитывается с рождения по таким стереотипам. Мужчины развиваются в рамках таких предрассудков, придерживаясь их в жизни. В некоторых случаях стереотипы маскулинности негативно влияют на жизнь мужчины. Если действие или поведение мужчин не соответствует стереотипам, они оцениваются как «не настоящий мужчина». Поэтому в воспитании мальчиков необходимо объяснять ребенку, какие из установок и стереотипов, которые высказываются в обществе по отношению к мужчинам, являются правильными или неправильными, неуместными.","Сегодня, в эпоху культурной глобализации, меняются «маскулинные» качества, присущие мужчинам и стереотипы маскулинности. Заметно, как меняются социальные роли мужчин и женщин. Мужчина должен быть активным в обществе, в семье. Стереотип о том, что мужчина – кормилец семьи, женщина–костяк семьи, сегодня претерпел изменения. Цель работы - [анализ стереотипов маскулинности в современной казахской культуре|F1|AIM]. Что касается научно-практической значимости исследовательской работы, то [статья будет необходима для теоретического дополнения работ, написанных в области гендерологии, лингвокультурологии, социолингвистики, когнитивной лингвистики и создания лекций спецкурсов «Лингвокультурология», «Гендерная лингвистика», «Маскулинные исследования», написания курсовых и дипломных работ|F2|USAGE]. С целью [анализа маскулинных стереотипов|F3|TASK] [в книге Ж. Кейкина «7777 казахских пословиц и поговорок» были собраны пословицы и поговорки, выражающие маскулинные качества|F4|MATERIAL]. В ходе исследования были использованы [комплексные исследования|F5|METHOD], [контекстный анализ|F6|METHOD], [сравнение|F7|METHOD] и [описательные методы|F8|METHOD]. Быть мужчиной или женщиной в любом обществе - это не просто иметь анатомические особенности, это определенные гендерные роли, которые ожидаются от людей. Согласно стереотипам маскулинности, мужчины в казахской культуре являются основными кормильцами семьи, добиваются успеха через трудолюбие, принимают основные решения в обществе, семье и защищают честь своего народа. Стереотип мужчины-лидера, властителя может выйти из рядов гендерных стереотипов. Ценность и практическая значимость работы: [согласно стереотипам маскулинности, общество ожидает от мужчины определенного набора действий и качеств|F9|RESULT]. Мальчик воспитывается с рождения по таким стереотипам. Мужчины развиваются в рамках таких предрассудков, придерживаясь их в жизни. [В некоторых случаях стереотипы маскулинности негативно влияют на жизнь мужчины|F10|RESULT]. Если действие или поведение мужчин не соответствует стереотипам, они оцениваются как «не настоящий мужчина». Поэтому [в воспитании мальчиков необходимо объяснять ребенку, какие из установок и стереотипов, которые высказываются в обществе по отношению к мужчинам, являются правильными или неправильными, неуместными|F11|RESULT].","F1 AIM анализ стереотипов маскулинности в современной казахской культуре
F2 USAGE статья будет необходима для теоретического дополнения работ, написанных в области гендерологии, лингвокультурологии, социолингвистики, когнитивной лингвистики и создания лекций спецкурсов «Лингвокультурология», «Гендерная лингвистика», «Маскулинные исследования», написания курсовых и дипломных работ
F3 TASK анализа маскулинных стереотипов
F4 MATERIAL в книге Ж. Кейкина «7777 казахских пословиц и поговорок» были собраны пословицы и поговорки, выражающие маскулинные качества
F5 METHOD комплексные исследования
F6 METHOD контекстный анализ
F7 METHOD сравнение
F8 METHOD описательные методы
F9 RESULT согласно стереотипам маскулинности, общество ожидает от мужчины определенного набора действий и качеств
F10 RESULT В некоторых случаях стереотипы маскулинности негативно влияют на жизнь мужчины
F11 RESULT в воспитании мальчиков необходимо объяснять ребенку, какие из установок и стереотипов, которые высказываются в обществе по отношению к мужчинам, являются правильными или неправильными, неуместными
"
ling-12228-3-ru.txt,"Основная цель данной статьи проанализировать и оценить эффективность применения стратегии вежливости в британских электронных пресс-релизах. Анализ электронных пресс-релизов в сфере бизнеса всегда привлекателен для лингвистов, поскольку в этом жанре текста наблюдаема. Данные для исследования были собраны с официального сайта очень известной и старой британской компании Unilever и проанализированы с помощью автомотизированных программ анализа данных, что придает исследованию новизну и актуальность. Применение компьютерных программ привело к получению точных результатов. Это исследование направлено на применение теорий стратегии вежливости Брауна и Левинсона для отслеживания определенной прагматики в электронных пресс-релизах. Результаты показывают, что электронные пресс-релизы широко используют стратегии позитивной вежливости, потому что электронные пресс-релизы создаются с учетом культурных особенностей целевой аудитории. Врезультате исслодования можно твердо утвердить что этот инструмент эффективно работает для создания положительного имиджа компании. Таким образом, данное исследование привлекателен своим междисциплинарным подходом и результаты этой научной работы могут приминятся не только в прагмалингвистике, но и в сфере маркетинга и бизнеса в целом.","Основная цель данной статьи [проанализировать и оценить эффективность применения стратегии вежливости в британских электронных пресс-релизах|F1|AIM]. Анализ электронных пресс-релизов в сфере бизнеса всегда привлекателен для лингвистов, поскольку в этом жанре текста наблюдаема. Данные для исследования были собраны с [официального сайта очень известной и старой британской компании Unilever|F2|MATERIAL] и проанализированы с помощью [автомотизированных программ анализа данных|F3|METHOD], что придает исследованию новизну и актуальность. Применение компьютерных программ привело к получению точных результатов. Это исследование направлено на [применение теорий стратегии вежливости Брауна и Левинсона для отслеживания определенной прагматики в электронных пресс-релизах|F4|TASK]. Результаты показывают, что [электронные пресс-релизы широко используют стратегии позитивной вежливости, потому что электронные пресс-релизы создаются с учетом культурных особенностей целевой аудитории|F5|RESULT]. Врезультате исслодования можно твердо утвердить что этот [инструмент эффективно работает для создания положительного имиджа компании|F6|RESULT]. Таким образом, данное исследование привлекателен своим междисциплинарным подходом и результаты этой научной работы могут [приминятся не только в прагмалингвистике, но и в сфере маркетинга и бизнеса в целом|F7|USAGE].","F1 AIM проанализировать и оценить эффективность применения стратегии вежливости в британских электронных пресс-релизах
F2 MATERIAL официального сайта очень известной и старой британской компании Unilever
F3 METHOD автомотизированных программ анализа данных
F4 TASK применение теорий стратегии вежливости Брауна и Левинсона для отслеживания определенной прагматики в электронных пресс-релизах
F5 RESULT электронные пресс-релизы широко используют стратегии позитивной вежливости, потому что электронные пресс-релизы создаются с учетом культурных особенностей целевой аудитории
F6 RESULT инструмент эффективно работает для создания положительного имиджа компании
F7 USAGE приминятся не только в прагмалингвистике, но и в сфере маркетинга и бизнеса в целом
"
ling-12229-3-ru.txt,"Глобальный кризис в области здравоохранения, известный как COVID-19, неизбежно вошел в современную жизнь человечества. Ежедневно в СМИ сообщали об этой катастрофе. Негативное влияние коронавируса на человечество, культуру и экономику было огромным. Пандемия короновируса влияла и на повседневный образ жизни, психологию языковых личностей и менталитет, как на индивидуальном, так и на коллективном уровне. Цель статьи: выяснить, с помощью каких языковых средств в медиа-дискурсе, «Пандемия Сovid 19» была реализована в медиапространстве. Теоретическое значение исследования заключается в том, что результаты исследования будут способствовать выявлению форм короновирусной лексики, сложившейся в казахском медиа мире, и дальнейшему изучению природы Ковид-дискурса в лингвокультурах с различными исследовательскими результатами. Практические результаты исследовательской работы могут быть использованы при изучении таких дисциплин, как «Медиадискурс», «Медицинский медиа дискурс», «Ковид – дискурс» для студентов и магистрантов, обучающихся по специальности «Иностранная филология», а также при составлении словарей и глоссарий, посвященных лексическому составу термина «Covid». Методологическую основу научной статьи составляют медиа-дискурс и дискурс «Пандемия Covid-19». В качестве основных результатов исследования представлено определение дискурса «Пандемия Covid-19», определен его экстралингвистический потенциал и конституциональные признаки рассматриваемого дискурса. Научная статья, также в перспективном плане, будет способствовать дальнейшему изучению языкового потенциала дискурса «Пандемия Covid-19», как новое лингвистическое явление.","Глобальный кризис в области здравоохранения, известный как COVID-19, неизбежно вошел в современную жизнь человечества. Ежедневно в СМИ сообщали об этой катастрофе. Негативное влияние коронавируса на человечество, культуру и экономику было огромным. Пандемия короновируса влияла и на повседневный образ жизни, психологию языковых личностей и менталитет, как на индивидуальном, так и на коллективном уровне. Цель статьи: [выяснить, с помощью каких языковых средств в медиа-дискурсе, «Пандемия Сovid 19» была реализована в медиапространстве|F1|AIM]. Теоретическое значение исследования заключается в том, что [результаты исследования будут способствовать выявлению форм короновирусной лексики, сложившейся в казахском медиа мире, и дальнейшему изучению природы Ковид-дискурса в лингвокультурах с различными исследовательскими результатами|F2|USAGE]. Практические результаты исследовательской работы [могут быть использованы при изучении таких дисциплин, как «Медиадискурс», «Медицинский медиа дискурс», «Ковид – дискурс»|F3|USAGE] для студентов и магистрантов, обучающихся по специальности «Иностранная филология», а также [при составлении словарей и глоссарий, посвященных лексическому составу термина «Covid»|F4|USAGE]. Методологическую основу научной статьи составляют [медиа-дискурс и дискурс «Пандемия Covid-19»|F5|MATERIAL]. В качестве основных результатов исследования [представлено определение дискурса «Пандемия Covid-19»|F6|RESULT], [определен его экстралингвистический потенциал и конституциональные признаки рассматриваемого дискурса|F7|RESULT]. Научная статья, также в перспективном плане, [будет способствовать дальнейшему изучению языкового потенциала дискурса «Пандемия Covid-19», как новое лингвистическое явление|F8|USAGE].","F1 AIM выяснить, с помощью каких языковых средств в медиа-дискурсе, «Пандемия Сovid 19» была реализована в медиапространстве
F2 USAGE результаты исследования будут способствовать выявлению форм короновирусной лексики, сложившейся в казахском медиа мире, и дальнейшему изучению природы Ковид-дискурса в лингвокультурах с различными исследовательскими результатами
F3 USAGE могут быть использованы при изучении таких дисциплин, как «Медиадискурс», «Медицинский медиа дискурс», «Ковид – дискурс»
F4 USAGE при составлении словарей и глоссарий, посвященных лексическому составу термина «Covid»
F5 MATERIAL медиа-дискурс и дискурс «Пандемия Covid-19»
F6 RESULT представлено определение дискурса «Пандемия Covid-19»
F7 RESULT определен его экстралингвистический потенциал и конституциональные признаки рассматриваемого дискурса
F8 USAGE будет способствовать дальнейшему изучению языкового потенциала дискурса «Пандемия Covid-19», как новое лингвистическое явление
"
ling-12230-3-ru.txt,"В развитии социально-экономических сфер страны велика роль языка. Знание языка-основной компонент человеческого капитала. Это потому, что язык или языки могут оказать существенное влияние на экономическое, социальное развитие человека. Кроме того, это влияет на экономические решения. Так, по результатам исследования, проведенного в семи развитых странах, выяснилось, что знание родного и иностранного языка не только увеличивает прибыль, но и снижает риск безработицы. Цель проведенного в статье исследования-выявить современное состояние экономического сознания казахской нации и потенциал государственного языка в повышении национальной экономической культуры.В предыдущих изысканиях отсутствуют научные труды, определяющие, какие изменения, какие трансформации произошли в лексикографировании лексических единиц, характерных для экономического дискурса. Проблема казахского языка в экономическом дискурсе в настоящее время становится очень актуальной. Причина в том, что экономическое сознание как внутренняя часть общественного сознания, без развития национального языка, подвержено большим препятствиям как процессам развития общегосударственного языка, так и процессам экономического прогресса общества. Такие социолингвистические и лингвоэкономические исследования необходимы в реализации языковой политики, разработке программ развития языков.В статье сделано попытка выявления потенциала государственного языка и расширения сферы государственного языка в потенциальной бизнес среде, наглядно показано лингвостатистика терминов, слов, понятий, наименований с экономической семантикой, также было проведено социолингвистическое исследование с целью, предоставления конкретных путей решения их языковых проблем, в целях научного рассмотрения вопросов, попавших в общественное обсуждение в рамках СМИ о роли языка и экономики, особенно казахского языка в бизнесе. В ходе исследования были получены полуструктурированные интервью с казахскоязычными владельцами малого бизнеса и массовый онлайн-опрос казахскоязычных потребителей. Потенциальными потребителями исследования являются комитет языковой политики МОН РК, НПП РК» Атамекен», лингвисты, социолингвисты, лингвоэкономисты, магистранты и докторанты, а также политики и журналисты.","В развитии социально-экономических сфер страны велика роль языка. Знание языка-основной компонент человеческого капитала. Это потому, что язык или языки могут оказать существенное влияние на экономическое, социальное развитие человека. Кроме того, это влияет на экономические решения. Так, по результатам исследования, проведенного в семи развитых странах, выяснилось, что знание родного и иностранного языка не только увеличивает прибыль, но и снижает риск безработицы. Цель проведенного в статье исследования-[выявить современное состояние экономического сознания казахской нации и потенциал государственного языка в повышении национальной экономической культуры|F1|AIM].В предыдущих изысканиях отсутствуют научные труды, определяющие, какие изменения, какие трансформации произошли в лексикографировании лексических единиц, характерных для экономического дискурса. Проблема казахского языка в экономическом дискурсе в настоящее время становится очень актуальной. Причина в том, что экономическое сознание как внутренняя часть общественного сознания, без развития национального языка, подвержено большим препятствиям как процессам развития общегосударственного языка, так и процессам экономического прогресса общества. Такие социолингвистические и лингвоэкономические исследования необходимы в реализации языковой политики, разработке программ развития языков.В статье сделано попытка [выявления потенциала государственного языка и расширения сферы государственного языка в потенциальной бизнес среде|F2|TASK], [наглядно показано лингвостатистика терминов, слов, понятий, наименований с экономической семантикой|F3|TASK], также было проведено [социолингвистическое исследование|F4|METHOD] с целью, предоставления конкретных путей решения их языковых проблем, в целях [научного рассмотрения вопросов, попавших в общественное обсуждение в рамках СМИ о роли языка и экономики, особенно казахского языка в бизнесе|F5|TASK]. В ходе исследования были [получены полуструктурированные интервью с казахскоязычными владельцами малого бизнеса и массовый онлайн-опрос казахскоязычных потребителей|F6|RESULT]. [Потенциальными потребителями исследования являются комитет языковой политики МОН РК, НПП РК» Атамекен», лингвисты, социолингвисты, лингвоэкономисты, магистранты и докторанты, а также политики и журналисты|F7|USAGE].","F1 AIM выявить современное состояние экономического сознания казахской нации и потенциал государственного языка в повышении национальной экономической культуры
F2 TASK выявления потенциала государственного языка и расширения сферы государственного языка в потенциальной бизнес среде
F3 TASK наглядно показано лингвостатистика терминов, слов, понятий, наименований с экономической семантикой
F4 METHOD социолингвистическое исследование
F5 TASK научного рассмотрения вопросов, попавших в общественное обсуждение в рамках СМИ о роли языка и экономики, особенно казахского языка в бизнесе
F6 RESULT получены полуструктурированные интервью с казахскоязычными владельцами малого бизнеса и массовый онлайн-опрос казахскоязычных потребителей
F7 USAGE Потенциальными потребителями исследования являются комитет языковой политики МОН РК, НПП РК» Атамекен», лингвисты, социолингвисты, лингвоэкономисты, магистранты и докторанты, а также политики и журналисты
"
ling-12231-3-ru.txt,"Изучение убеждений учителей входит в более широкую область исследований когнитивного измерения учителей. Когнитивное измерение учителей – это концепция, которая охватывает все аспекты скрытых ментальных процессов, лежащих в основе педагогических решений учителей, ненаблюдаемое когнитивное измерение преподавания – то, что учителя знают, во что верят и о чем думают. Изучение убеждений учителей оказалось серьезной проблемой для исследователей не только из-за различных концептуализации, но и из-за методов, которые были использованы для изучения и понимания этого феномена. Изучение систем убеждений учителей в области преподавания языка вызвало большой интерес у исследователей в последние 30 лет. Важно изучать убеждения учителей, поскольку считается, что они играют ключевую роль по отношению к реальной практике учителей в классах. Однако обзор литературы, по-видимому, позволяет предположить, что исследовательские методы, используемые учеными для изучения убеждений учителей, определяют наше понимание обсуждаемой темы. В данной статье критически оцениваются некоторые из этих исследовательских методов, обсуждается ценность интервью для исследования когнитивных измерений учителей и предлагаются конкретные типы интервью, которые могут быть полезны при исследовании убеждений учителей относительно преподавание устной речи. В статье утверждается, что когнитивные миры учителей нужно исследовать с помощью интервью как неотъемлемую часть их практики. Это соответствует предложением в данной области обозначить профессиональную практику учителей в качестве отправной точки для исследования их систем убеждений. Результаты исследования имеют значение для исследователей в области изучения когнитивного измерения педагогов.","Изучение убеждений учителей входит в более широкую область исследований когнитивного измерения учителей. Когнитивное измерение учителей – это концепция, которая охватывает все аспекты скрытых ментальных процессов, лежащих в основе педагогических решений учителей, ненаблюдаемое когнитивное измерение преподавания – то, что учителя знают, во что верят и о чем думают. Изучение убеждений учителей оказалось серьезной проблемой для исследователей не только из-за различных концептуализации, но и из-за методов, которые были использованы для изучения и понимания этого феномена. [Изучение систем убеждений учителей в области преподавания языка|F1|AIM] вызвало большой интерес у исследователей в последние 30 лет. Важно изучать убеждения учителей, поскольку считается, что они играют ключевую роль по отношению к реальной практике учителей в классах. Однако обзор литературы, по-видимому, позволяет предположить, что исследовательские методы, используемые учеными для изучения убеждений учителей, определяют наше понимание обсуждаемой темы. В данной статье [критически оцениваются некоторые из этих исследовательских методов|F2|TASK], [обсуждается ценность интервью для исследования когнитивных измерений учителей|F3|TASK] и [предлагаются конкретные типы интервью, которые могут быть полезны при исследовании убеждений учителей относительно преподавание устной речи|F4|TASK]. В статье утверждается, что когнитивные миры учителей нужно исследовать с помощью [интервью|F5|METHOD] как неотъемлемую часть их практики. Это соответствует предложением в данной области [обозначить профессиональную практику учителей в качестве отправной точки для исследования их систем убеждений|F6|RESULT]. [Результаты исследования имеют значение для исследователей в области изучения когнитивного измерения педагогов|F7|USAGE].","F1 AIM Изучение систем убеждений учителей в области преподавания языка
F2 TASK критически оцениваются некоторые из этих исследовательских методов
F3 TASK обсуждается ценность интервью для исследования когнитивных измерений учителей
F4 TASK предлагаются конкретные типы интервью, которые могут быть полезны при исследовании убеждений учителей относительно преподавание устной речи
F5 METHOD интервью
F6 RESULT обозначить профессиональную практику учителей в качестве отправной точки для исследования их систем убеждений
F7 USAGE Результаты исследования имеют значение для исследователей в области изучения когнитивного измерения педагогов
"
