filename,abstract,aspect_annotation,aspects
med-0102_0108-1-ru.txt,"Введение. При лечении гранулирующих гнойных ран часть больных будут нуждаться в хирургических вмешательствах для восстановления целостности кожных покровов. При этом особое место занимает аутодермопластика расщепленным способом. Однако, не всегда удается полное приживление кожного трансплантата на поверхности раны.Цель исследования - оценить результаты приживления аутодермотрансплантата при лечении гранулирующих гнойных ран различной этиологии на основе интраоперационного и послеоперационного алгоритма ведения ран после проведения свободной расщепленной аутодермопластики. Материалы и методы исследования. Под нерандомизированным клиническим наблюдением находились на лечении всего 100 больных с гранулирующими гнойными ранами различного происхождения. В основной группе, у 50 пациентов, использовался разработанный интраоперационный и постоперационный алгоритм ведения раны после применения свободной расщепленной аутодермопластики. В группе сравнения, представленной, также 50 пациентами, проводилось традиционное местное лечение ран с аутодермотрансплантатом с применением повязок.Результаты исследования. В целом, приживление трансплантата к 7 дням после аутодермопластики были оценены как полное приживление трансплантата в основной группе больных, а в группе сравнения - частичное его приживление к реципиент-участку. Наиболее лучшие результаты были в группе пациентов с гранулирующими ранами хирургического и травматического происхождения, худшие - при ранах после отморожений.Заключение. При применении разработанного алгоритма интраоперационного и послеоперационного ведения гранулирующих гнойных ран после аутодермопластики повышается доля приживления аутодермотрансплантата, как относительно количеству проведенной аутодермопластики с 76% до 96% (χ2=6,728; p=0,01), так и относительно площади пересаженного аутодермотрансплантата с 77,34±0,33% до 96,06±0,2% (t = 48,51; р<0,05) по сравнению с пациентами, пролеченными традиционным способом ведения ран со снижением шанса развития раневых осложнении 7,6 раза.","Введение. При лечении гранулирующих гнойных ран часть больных будут нуждаться в хирургических вмешательствах для восстановления целостности кожных покровов. При этом особое место занимает [аутодермопластика расщепленным способом|F1|METHOD]. Однако, не всегда удается полное приживление кожного трансплантата на поверхности раны.Цель исследования - [оценить результаты приживления аутодермотрансплантата при лечении гранулирующих гнойных ран различной этиологии на основе интраоперационного и послеоперационного алгоритма ведения ран после проведения свободной расщепленной аутодермопластики|F2|AIM]. Материалы и методы исследования. Под [нерандомизированным клиническим наблюдением|F3|METHOD] находились на лечении всего [100 больных с гранулирующими гнойными ранами различного происхождения|F4|MATERIAL]. [В основной группе, у 50 пациентов|F5|MATERIAL], использовался [разработанный интраоперационный и постоперационный алгоритм ведения раны после применения свободной расщепленной аутодермопластики|F6|METHOD]. [В группе сравнения, представленной, также 50 пациентами|F7|MATERIAL], проводилось [традиционное местное лечение ран с аутодермотрансплантатом с применением повязок|F8|METHOD].Результаты исследования. В целом, [приживление трансплантата к 7 дням после аутодермопластики были оценены как полное приживление трансплантата в основной группе больных, а в группе сравнения - частичное его приживление к реципиент-участку|F9|RESULT]. Наиболее [лучшие результаты были в группе пациентов с гранулирующими ранами хирургического и травматического происхождения, худшие - при ранах после отморожений|F10|RESULT].Заключение. [При применении разработанного алгоритма интраоперационного и послеоперационного ведения гранулирующих гнойных ран после аутодермопластики повышается доля приживления аутодермотрансплантата, как относительно количеству проведенной аутодермопластики с 76% до 96% (χ2=6,728; p=0,01), так и относительно площади пересаженного аутодермотрансплантата с 77,34±0,33% до 96,06±0,2% (t = 48,51; р<0,05) по сравнению с пациентами, пролеченными традиционным способом ведения ран со снижением шанса развития раневых осложнении 7,6 раза|F11|RESULT].","F1 METHOD аутодермопластика расщепленным способом
F2 AIM оценить результаты приживления аутодермотрансплантата при лечении гранулирующих гнойных ран различной этиологии на основе интраоперационного и послеоперационного алгоритма ведения ран после проведения свободной расщепленной аутодермопластики
F3 METHOD нерандомизированным клиническим наблюдением
F4 MATERIAL 100 больных с гранулирующими гнойными ранами различного происхождения
F5 MATERIAL В основной группе, у 50 пациентов
F6 METHOD разработанный интраоперационный и постоперационный алгоритм ведения раны после применения свободной расщепленной аутодермопластики
F7 MATERIAL В группе сравнения, представленной, также 50 пациентами
F8 METHOD традиционное местное лечение ран с аутодермотрансплантатом с применением повязок
F9 RESULT приживление трансплантата к 7 дням после аутодермопластики были оценены как полное приживление трансплантата в основной группе больных, а в группе сравнения - частичное его приживление к реципиент-участку
F10 RESULT лучшие результаты были в группе пациентов с гранулирующими ранами хирургического и травматического происхождения, худшие - при ранах после отморожений
F11 RESULT При применении разработанного алгоритма интраоперационного и послеоперационного ведения гранулирующих гнойных ран после аутодермопластики повышается доля приживления аутодермотрансплантата, как относительно количеству проведенной аутодермопластики с 76% до 96% (χ2=6,728; p=0,01), так и относительно площади пересаженного аутодермотрансплантата с 77,34±0,33% до 96,06±0,2% (t = 48,51; р<0,05) по сравнению с пациентами, пролеченными традиционным способом ведения ран со снижением шанса развития раневых осложнении 7,6 раза
"
med-0109_0117-3-ru.txt,"Введение: Патологический синдром, развивающийся вследствие нарушения оттока печеночной желчи по желчевыводящим путям в кишечник из-за механических препятствий, называется механической желтухой (МЖ). Гемостаз зависит от полноценной функции печени, поскольку синтез многих факторов свертывания происходит в клетках печени, а продукты активации - в клетках ретикулоэндотелиальной системы печени. Нарушение гемостаза напрямую зависит от тяжести дисфункции гепатоцитов. У таких пациентов может развиться диссеминированное внутрисосудистое свертывание крови (ДВС-синдром) и кровотечение во время и после операции. Цель: Улучшить результаты лечения коагулопатического кровотечения во время операций при механических желтухах, путем упреждающей терапии. Материалы и методы. Дизайн исследования: Нерандомизированное клинически контролируемое исследование.   Изучено состояние гемостаза в зависимости от продолжительности желтухи, у 79 больных с механической желтухой, лечившихся в Университетском Госпитале НАО «Медицинский университет Семей». Критерии включения: больные от 18 лет и старше с механической желтухой, требующие оперативного лечения. Критерии исключения: дети и подростки до 18 лет, пациенты не согласные участвовать, недееспособные, беременные женщины. Для проведения исследования больные разделены на 2 группы: основная n = 35 (44,3%) больных, которым проводилось лечение L- корнитином и контрольная группа n = 44 (55,7%).  Для статистической обработки, применен непараметрический критерий Манна-Уитни, когда были ограничения в использовании параметрического анализа. Для опровержения нулевой гипотезы принят уровень статистической значимости p < 0,05. Результаты. Изменения показателей свертываемости крови у пациентов с механической желтухой при поступлении и на 1-е, 3-и и 5-е сутки после проведенного лечения предложенным способом заметно улучшаются, так отмечается сдвиг показателей АЧТВ, Клаус-фибриногена, МНО и ПВ в сторону гиперкоагуляции уже на 1-е сутки, (т.к. они являются специфическими маркерами продолжающегося кровотечения). Выводы. Предложенный усовершенствованный способ профилактики коагулопатического кровотечения во время операции при механической желтухе позволил достоверно снизить частоту развития коагулопатий у данных больных, что особенно важно, частоту их клинической манифестации, так Клаус-фибриноген в крови на 5-е сутки был 3,8 г/л, что оказалось статистически значимым U - 412,500 (Р =0,05) и улучшилось ПВ на 5-е сутки был 12,3  сек, статистическая значимость U - 208,500 (Р =0,05).","Введение: Патологический синдром, развивающийся вследствие нарушения оттока печеночной желчи по желчевыводящим путям в кишечник из-за механических препятствий, называется механической желтухой (МЖ). Гемостаз зависит от полноценной функции печени, поскольку синтез многих факторов свертывания происходит в клетках печени, а продукты активации - в клетках ретикулоэндотелиальной системы печени. Нарушение гемостаза напрямую зависит от тяжести дисфункции гепатоцитов. У таких пациентов может развиться диссеминированное внутрисосудистое свертывание крови (ДВС-синдром) и кровотечение во время и после операции. Цель: [Улучшить результаты лечения коагулопатического кровотечения во время операций при механических желтухах, путем упреждающей терапии|F1|AIM]. Материалы и методы. Дизайн исследования: [Нерандомизированное клинически контролируемое исследование|F2|METHOD].   [Изучено состояние гемостаза в зависимости от продолжительности желтухи, у 79 больных с механической желтухой, лечившихся в Университетском Госпитале НАО «Медицинский университет Семей»|F3|MATERIAL]. [Критерии включения: больные от 18 лет и старше с механической желтухой, требующие оперативного лечения|F4|MATERIAL]. [Критерии исключения: дети и подростки до 18 лет, пациенты не согласные участвовать, недееспособные, беременные женщины|F5|MATERIAL]. Для проведения исследования больные разделены на 2 группы: [основная n = 35 (44,3%) больных|F6|MATERIAL], которым проводилось [лечение L- корнитином|F7|METHOD] и [контрольная группа n = 44 (55,7%)|F8|MATERIAL].  Для [статистической обработки|F9|TASK], применен [непараметрический критерий Манна-Уитни, когда были ограничения в использовании параметрического анализа|F10|METHOD]. Для опровержения нулевой гипотезы принят уровень статистической значимости p < 0,05. Результаты. [Изменения показателей свертываемости крови у пациентов с механической желтухой при поступлении и на 1-е, 3-и и 5-е сутки после проведенного лечения предложенным способом заметно улучшаются, так отмечается сдвиг показателей АЧТВ, Клаус-фибриногена, МНО и ПВ в сторону гиперкоагуляции уже на 1-е сутки|F11|RESULT], (т.к. они являются специфическими маркерами продолжающегося кровотечения). Выводы. [Предложенный усовершенствованный способ профилактики коагулопатического кровотечения во время операции при механической желтухе позволил достоверно снизить частоту развития коагулопатий у данных больных, что особенно важно, частоту их клинической манифестации, так Клаус-фибриноген в крови на 5-е сутки был 3,8 г/л, что оказалось статистически значимым U - 412,500 (Р =0,05) и улучшилось ПВ на 5-е сутки был 12,3 сек, статистическая значимость U - 208,500 (Р =0,05)|F12|RESULT].","F1 AIM Улучшить результаты лечения коагулопатического кровотечения во время операций при механических желтухах, путем упреждающей терапии
F2 METHOD Нерандомизированное клинически контролируемое исследование
F3 MATERIAL Изучено состояние гемостаза в зависимости от продолжительности желтухи, у 79 больных с механической желтухой, лечившихся в Университетском Госпитале НАО «Медицинский университет Семей»
F4 MATERIAL Критерии включения: больные от 18 лет и старше с механической желтухой, требующие оперативного лечения
F5 MATERIAL Критерии исключения: дети и подростки до 18 лет, пациенты не согласные участвовать, недееспособные, беременные женщины
F6 MATERIAL основная n = 35 (44,3%) больных
F7 METHOD лечение L- корнитином
F8 MATERIAL контрольная группа n = 44 (55,7%)
F9 TASK статистической обработки
F10 METHOD непараметрический критерий Манна-Уитни, когда были ограничения в использовании параметрического анализа
F11 RESULT Изменения показателей свертываемости крови у пациентов с механической желтухой при поступлении и на 1-е, 3-и и 5-е сутки после проведенного лечения предложенным способом заметно улучшаются, так отмечается сдвиг показателей АЧТВ, Клаус-фибриногена, МНО и ПВ в сторону гиперкоагуляции уже на 1-е сутки
F12 RESULT Предложенный усовершенствованный способ профилактики коагулопатического кровотечения во время операции при механической желтухе позволил достоверно снизить частоту развития коагулопатий у данных больных, что особенно важно, частоту их клинической манифестации, так Клаус-фибриноген в крови на 5-е сутки был 3,8 г/л, что оказалось статистически значимым U - 412,500 (Р =0,05) и улучшилось ПВ на 5-е сутки был 12,3 сек, статистическая значимость U - 208,500 (Р =0,05)
"
med-0118_0124-2-ru.txt,"Введение. Коронавирусная инфекция внесла существенный вклад в течение заболеваний сердечно-сосудистой системы населения практически всех стран мира. Особенностями такого течения в период пандемии COVID-19 явились запоздалое оказание медицинской помощи пациентам с острым коронарным синдромом и инфарктом миокарда вследствие недостаточного количества ресурсов. Целью исследования явился анализ особенностей тромбоза и рестеноза внутри стента коронарных артерий у пациентов с ишемической болезнью сердца, перенесших коронавирусную инфекцию. Материалы и методы. В исследование были включены 490 лиц, перенесших повторную реваскуляризацию миокарда по поводу тромбоза предварительно имплантированного стента коронарной артерии или его рестеноза. Основную группу исследования составили 181 пациент, перенесших коронавирусную инфекцию, подтвержденную документально. В группу контроля вошли 309 пациентов обоих полов с реваскуляризированной ишемической болезнью сердца, не имеющие в анамнезе коронавирусной инфекции. Возраст пациентов – 34-87 лет. Анализ полученных результатов проводился с помощью специально созданного Регистра, который включил всех пациентов, прошедших реваскуляризацию миокарда в период с марта 2020 по 2023 гг. после перенесенной КВИ Результаты. У лиц с острым коронарным синдромом на фоне или после перенесенной коронавирусной инфекции достоверно чаще развивается инфаркт миокарда в сравнении с лицами, не перенесшими инфекцию; среди них статистически значимо чаще наблюдаются неблагоприятные исходы в виде смерти или перевода в другие лечебные учреждения из-за тяжести состояния. Среди лиц основной группы существенно чаще встречался подострый тромбоз внутри стента. Заключение. Необходимо тщательное изучение роли КВИ в развитии тромбозов коронарных артерий для того, чтобы быть готовыми к оказанию своевременной и максимально эффективной медицинской помощи больным.","Введение. Коронавирусная инфекция внесла существенный вклад в течение заболеваний сердечно-сосудистой системы населения практически всех стран мира. Особенностями такого течения в период пандемии COVID-19 явились запоздалое оказание медицинской помощи пациентам с острым коронарным синдромом и инфарктом миокарда вследствие недостаточного количества ресурсов. Целью исследования явился [анализ особенностей тромбоза и рестеноза внутри стента коронарных артерий у пациентов с ишемической болезнью сердца, перенесших коронавирусную инфекцию|F1|AIM]. Материалы и методы. [В исследование были включены 490 лиц, перенесших повторную реваскуляризацию миокарда по поводу тромбоза предварительно имплантированного стента коронарной артерии или его рестеноза|F2|MATERIAL]. [Основную группу исследования составили 181 пациент, перенесших коронавирусную инфекцию, подтвержденную документально|F3|MATERIAL]. [В группу контроля вошли 309 пациентов обоих полов с реваскуляризированной ишемической болезнью сердца, не имеющие в анамнезе коронавирусной инфекции|F4|MATERIAL]. [Возраст пациентов – 34-87 лет|F5|MATERIAL]. Анализ полученных результатов проводился с помощью [специально созданного Регистра|F6|TOOL], который включил всех [пациентов, прошедших реваскуляризацию миокарда в период с марта 2020 по 2023 гг. после перенесенной КВИ|F7|MATERIAL] Результаты. [У лиц с острым коронарным синдромом на фоне или после перенесенной коронавирусной инфекции достоверно чаще развивается инфаркт миокарда в сравнении с лицами, не перенесшими инфекцию|F8|RESULT]; [среди них статистически значимо чаще наблюдаются неблагоприятные исходы в виде смерти или перевода в другие лечебные учреждения из-за тяжести состояния|F9|RESULT]. [Среди лиц основной группы существенно чаще встречался подострый тромбоз внутри стента|F10|RESULT]. Заключение. [Необходимо тщательное изучение роли КВИ в развитии тромбозов коронарных артерий для того, чтобы быть готовыми к оказанию своевременной и максимально эффективной медицинской помощи больным|F11|USAGE].","F1 AIM анализ особенностей тромбоза и рестеноза внутри стента коронарных артерий у пациентов с ишемической болезнью сердца, перенесших коронавирусную инфекцию
F2 MATERIAL В исследование были включены 490 лиц, перенесших повторную реваскуляризацию миокарда по поводу тромбоза предварительно имплантированного стента коронарной артерии или его рестеноза
F3 MATERIAL Основную группу исследования составили 181 пациент, перенесших коронавирусную инфекцию, подтвержденную документально
F4 MATERIAL В группу контроля вошли 309 пациентов обоих полов с реваскуляризированной ишемической болезнью сердца, не имеющие в анамнезе коронавирусной инфекции
F5 MATERIAL Возраст пациентов – 34-87 лет
F6 TOOL специально созданного Регистра
F7 MATERIAL пациентов, прошедших реваскуляризацию миокарда в период с марта 2020 по 2023 гг. после перенесенной КВИ
F8 RESULT У лиц с острым коронарным синдромом на фоне или после перенесенной коронавирусной инфекции достоверно чаще развивается инфаркт миокарда в сравнении с лицами, не перенесшими инфекцию
F9 RESULT среди них статистически значимо чаще наблюдаются неблагоприятные исходы в виде смерти или перевода в другие лечебные учреждения из-за тяжести состояния
F10 RESULT Среди лиц основной группы существенно чаще встречался подострый тромбоз внутри стента
F11 USAGE Необходимо тщательное изучение роли КВИ в развитии тромбозов коронарных артерий для того, чтобы быть готовыми к оказанию своевременной и максимально эффективной медицинской помощи больным
"
med-0125_0131-2-ru.txt,"Актуальность. В Республике Казахстан (РК) ежегодно регистрируется от 600 тысяч до 1,2 млн. случаев ОРВИ и гриппа. В среднем за эпидемиологический сезон госпитализируется с тяжелым и средне - тяжелым течением ОРВИ – до 70-80 тысяч человек, 70% из которых составляют дети до 14 лет, в том числе дети до 1 года – до 30-35%, беременные – 53-55% от числа заболевших ОРВИ беременных соответственно. Лечение острого респираторного вирусного инфекционного заболевания (ОРВИ) включает ряд мер и подходов, направленных на облегчение симптомов, снижение длительности болезни и предотвращение осложнений. Одним из таких препаратов является энисамия иодид, производимый заводом Фармак (Украина) под торговым названием «Амизон», зарегистрированный в РК в качестве противовирусного средства. Материалы и методы. Исследование является когортным, клиническим, неинтерванционным, проспективным. В городской инфекционной больнице г. Шымкента проведены клинические испытания эффективности противовирусного препарата энисамия йодид при тяжелых формах ОРВИ у взрослых, в сравнении с группой пациентов, не получавших этиотропное лечение с декабря 2022 года по январь 2023г. Результаты и выводы. В результате проведенного лечения наблюдалась нормализация температуры тела к 4-му и 5-му дню у 96% и 98% больных соответственно. В группе сравнения нормализация температуры тела к 3-му дню зарегистрирована у 60% больных. При сравнении основной и контрольной групп по койко-дням были установлены статистически значимые различия (p=0,049*). Пациенты со стандартной терапией находились в стационаре дольше, чем те, которые получали Амизон дополнительно. На фоне лечения Амизоном только в 1 случае из 50 развилось нежелательное явление в виде незначительной головной боли, совпадающей по времени с приемом препарата, не потребовавшее отмены препарата. На 3 и 4-й день терапии выявлены статистические значимые различия. Регресс симптомов интоксикации (лихорадка, озноб, головная боль, ломота в теле) и катаральных проявлений происходил значительно раньше, чем в группе контроля. Необходимость в назначении антибактериальных препаратов на фоне применения Амизона составила 10%, что свидетельствует о его антивирусном и антибактериальном эффекте.","Актуальность. В Республике Казахстан (РК) ежегодно регистрируется от 600 тысяч до 1,2 млн. случаев ОРВИ и гриппа. В среднем за эпидемиологический сезон госпитализируется с тяжелым и средне - тяжелым течением ОРВИ – до 70-80 тысяч человек, 70% из которых составляют дети до 14 лет, в том числе дети до 1 года – до 30-35%, беременные – 53-55% от числа заболевших ОРВИ беременных соответственно. Лечение острого респираторного вирусного инфекционного заболевания (ОРВИ) включает ряд мер и подходов, направленных на облегчение симптомов, снижение длительности болезни и предотвращение осложнений. Одним из таких препаратов является энисамия иодид, производимый заводом Фармак (Украина) под торговым названием «Амизон», зарегистрированный в РК в качестве противовирусного средства. Материалы и методы. [Исследование является когортным, клиническим, неинтерванционным, проспективным|F1|METHOD]. В городской инфекционной больнице г. Шымкента [проведены клинические испытания эффективности противовирусного препарата энисамия йодид при тяжелых формах ОРВИ у взрослых, в сравнении с группой пациентов, не получавших этиотропное лечение с декабря 2022 года по январь 2023г|F2|AIM]. Результаты и выводы. [В результате проведенного лечения наблюдалась нормализация температуры тела к 4-му и 5-му дню у 96% и 98% больных соответственно|F3|RESULT]. [В группе сравнения нормализация температуры тела к 3-му дню зарегистрирована у 60% больных|F4|RESULT]. [При сравнении основной и контрольной групп по койко-дням были установлены статистически значимые различия (p=0,049*)|F5|RESULT]. [Пациенты со стандартной терапией находились в стационаре дольше, чем те, которые получали Амизон дополнительно|F6|RESULT]. [На фоне лечения Амизоном только в 1 случае из 50 развилось нежелательное явление в виде незначительной головной боли, совпадающей по времени с приемом препарата, не потребовавшее отмены препарата|F7|RESULT]. [На 3 и 4-й день терапии выявлены статистические значимые различия|F8|RESULT]. [Регресс симптомов интоксикации (лихорадка, озноб, головная боль, ломота в теле) и катаральных проявлений происходил значительно раньше, чем в группе контроля|F9|RESULT]. [Необходимость в назначении антибактериальных препаратов на фоне применения Амизона составила 10%, что свидетельствует о его антивирусном и антибактериальном эффекте|F10|RESULT].","F1 METHOD Исследование является когортным, клиническим, неинтерванционным, проспективным
F2 AIM проведены клинические испытания эффективности противовирусного препарата энисамия йодид при тяжелых формах ОРВИ у взрослых, в сравнении с группой пациентов, не получавших этиотропное лечение с декабря 2022 года по январь 2023г
F3 RESULT В результате проведенного лечения наблюдалась нормализация температуры тела к 4-му и 5-му дню у 96% и 98% больных соответственно
F4 RESULT В группе сравнения нормализация температуры тела к 3-му дню зарегистрирована у 60% больных
F5 RESULT При сравнении основной и контрольной групп по койко-дням были установлены статистически значимые различия (p=0,049*)
F6 RESULT Пациенты со стандартной терапией находились в стационаре дольше, чем те, которые получали Амизон дополнительно
F7 RESULT На фоне лечения Амизоном только в 1 случае из 50 развилось нежелательное явление в виде незначительной головной боли, совпадающей по времени с приемом препарата, не потребовавшее отмены препарата
F8 RESULT На 3 и 4-й день терапии выявлены статистические значимые различия
F9 RESULT Регресс симптомов интоксикации (лихорадка, озноб, головная боль, ломота в теле) и катаральных проявлений происходил значительно раньше, чем в группе контроля
F10 RESULT Необходимость в назначении антибактериальных препаратов на фоне применения Амизона составила 10%, что свидетельствует о его антивирусном и антибактериальном эффекте
"
med-0132_0139-1-ru.txt,"Введение. Мультисистемный воспалительный синдром, ассоциированный с SARS-CoV-2 (МВС), характеризуется признаками и симптомами, отражающими интенсивную иммунную активацию с повышенной продукцией цитокинов.  Цель исследования. Изучить изменения иммунного ответа у детей с МВС, ассоциированного с SARS-CoV-2. Материалы и методы. Проспективное когортное исследование. В исследование вошло 35 детей с МВС, ассоциированным с SARS-CoV-2, группу контроля составили 15 здоровых детей, перенесших COVID-19 и не развивших МВС. Состояние иммунного ответа у всех пациентов оценивалось методом иммуннофенотипирования периферической крови.  Результаты. У детей с МВС, ассоциированным с SARS-CoV-2, отмечалась CD3+ Т- клеточная лимфопения, снижение NK-клеток, экспрессии маркера апоптоза CD95, а также повышение экспрессии маркера активации CD25. Изменение в гуморальном иммунном ответе проявлялось в виде повышения относительного количества В-лимфоцитов и увеличение экспрессии маркера активации В-клеток CD3-HLA-DR+. Выводы. Дети с МВС, ассоциированным с SARS-CoV-2, имеют глубокую иммунную дисрегуляцию, о чем свидетельствуют полученные нами данные.","Введение. Мультисистемный воспалительный синдром, ассоциированный с SARS-CoV-2 (МВС), характеризуется признаками и симптомами, отражающими интенсивную иммунную активацию с повышенной продукцией цитокинов.  Цель исследования. [Изучить изменения иммунного ответа у детей с МВС, ассоциированного с SARS-CoV-2|F1|AIM]. Материалы и методы. [Проспективное когортное исследование|F2|METHOD]. [В исследование вошло 35 детей с МВС, ассоциированным с SARS-CoV-2, группу контроля составили 15 здоровых детей, перенесших COVID-19 и не развивших МВС|F3|MATERIAL]. Состояние иммунного ответа у всех пациентов оценивалось [методом иммуннофенотипирования периферической крови|F4|METHOD].  Результаты. [У детей с МВС, ассоциированным с SARS-CoV-2, отмечалась CD3+ Т- клеточная лимфопения, снижение NK-клеток, экспрессии маркера апоптоза CD95, а также повышение экспрессии маркера активации CD25|F5|RESULT]. [Изменение в гуморальном иммунном ответе проявлялось в виде повышения относительного количества В-лимфоцитов и увеличение экспрессии маркера активации В-клеток CD3-HLA-DR+|F6|RESULT]. Выводы. [Дети с МВС, ассоциированным с SARS-CoV-2, имеют глубокую иммунную дисрегуляцию, о чем свидетельствуют полученные нами данные|F7|RESULT].","F1 AIM Изучить изменения иммунного ответа у детей с МВС, ассоциированного с SARS-CoV-2
F2 METHOD Проспективное когортное исследование
F3 MATERIAL В исследование вошло 35 детей с МВС, ассоциированным с SARS-CoV-2, группу контроля составили 15 здоровых детей, перенесших COVID-19 и не развивших МВС
F4 METHOD методом иммуннофенотипирования периферической крови
F5 RESULT У детей с МВС, ассоциированным с SARS-CoV-2, отмечалась CD3+ Т- клеточная лимфопения, снижение NK-клеток, экспрессии маркера апоптоза CD95, а также повышение экспрессии маркера активации CD25
F6 RESULT Изменение в гуморальном иммунном ответе проявлялось в виде повышения относительного количества В-лимфоцитов и увеличение экспрессии маркера активации В-клеток CD3-HLA-DR+
F7 RESULT Дети с МВС, ассоциированным с SARS-CoV-2, имеют глубокую иммунную дисрегуляцию, о чем свидетельствуют полученные нами данные
"
