filename,abstract,aspect_annotation,aspects
psy-3405-3-ru.txt,"В статье подчеркивается, что образование детей с особыми потребностями в области специального образования, в том числе детей с аутизмом, сегодня становится все более важной проблемой. Учителя играют важную роль в воспитании аутичных детей. В исследовании речь идет о проблемах, с которыми сталкиваются учителя специального образования, работающие с аутичными детьми, при работе с этими детьми. Цель исследования: выявление мнений и рекомендаций педагогов специального образования, работающих с аутичными детьми в инклюзивном образовательном пространстве; (а) об особенностях аутичных детей, (б) о проблемах, с которыми они сталкиваются при работе с аутичными детьми и (в) их работе по решению проблем. Для изучения этого качества были проведены переговоры с 16 добровольно участвующими преподавателями, работающими в специальных классах школы №39 им. М. Жумабаева. Для переговоров была подготовлена предварительная форма интервью. Интервью проводилось со всеми учителями отдельно в тот же день, время и место. Затем было проведено интервью, проведен описательный анализ и результаты представлены в количественном выражении. Результаты исследования показали, что ни один из участвующих в исследовании учителей во время обучения в бакалавриате не проходил специальное обучение аутичных детей, некоторые из них лишь посещали обучающие семинары, тренинги для работы с аутичными детьми. Кроме того, было установлено, что педагоги имеют разные взгляды на поведенческие характеристики детей-аутистов. Учителя высказывали различные мнения о правилах, выполняемых в классе для аутичных детей, методах обучения, которые они используют во время урока, эффективности методов и их работе над навыками, которым они обучают таких детей для их адаптации в повседневной жизни. Исследование также показало, что мнения педагогов о характеристиках детей с аутизмом отличались друг от друга.","В статье подчеркивается, что образование детей с особыми потребностями в области специального образования, в том числе детей с аутизмом, сегодня становится все более важной проблемой. Учителя играют важную роль в воспитании аутичных детей. [В исследовании речь идет о проблемах, с которыми сталкиваются учителя специального образования, работающие с аутичными детьми, при работе с этими детьми|F1|USAGE]. Цель исследования: [выявление мнений и рекомендаций педагогов специального образования, работающих с аутичными детьми в инклюзивном образовательном пространстве; (а) об особенностях аутичных детей, (б) о проблемах, с которыми они сталкиваются при работе с аутичными детьми и (в) их работе по решению проблем|F2|AIM]. Для изучения этого качества были проведены [переговоры с 16 добровольно участвующими преподавателями, работающими в специальных классах школы №39 им. М. Жумабаева|F3|MATERIAL]. Для переговоров была подготовлена предварительная [форма интервью|F4|TOOL]. [Интервью|F5|METHOD] проводилось со всеми учителями отдельно в тот же день, время и место. Затем было проведено [интервью|F6|METHOD], проведен [описательный анализ|F7|METHOD] и [результаты представлены в количественном выражении|F8|TASK]. [Результаты исследования показали, что ни один из участвующих в исследовании учителей во время обучения в бакалавриате не проходил специальное обучение аутичных детей, некоторые из них лишь посещали обучающие семинары, тренинги для работы с аутичными детьми|F9|RESULT]. Кроме того, [было установлено, что педагоги имеют разные взгляды на поведенческие характеристики детей-аутистов|F10|RESULT]. [Учителя высказывали различные мнения о правилах, выполняемых в классе для аутичных детей, методах обучения, которые они используют во время урока, эффективности методов и их работе над навыками, которым они обучают таких детей для их адаптации в повседневной жизни|F11|RESULT]. [Исследование также показало, что мнения педагогов о характеристиках детей с аутизмом отличались друг от друга|F12|RESULT].","F1 USAGE В исследовании речь идет о проблемах, с которыми сталкиваются учителя специального образования, работающие с аутичными детьми, при работе с этими детьми
F2 AIM выявление мнений и рекомендаций педагогов специального образования, работающих с аутичными детьми в инклюзивном образовательном пространстве; (а) об особенностях аутичных детей, (б) о проблемах, с которыми они сталкиваются при работе с аутичными детьми и (в) их работе по решению проблем
F3 MATERIAL переговоры с 16 добровольно участвующими преподавателями, работающими в специальных классах школы №39 им. М. Жумабаева
F4 TOOL форма интервью
F5 METHOD Интервью
F6 METHOD интервью
F7 METHOD описательный анализ
F8 TASK результаты представлены в количественном выражении
F9 RESULT Результаты исследования показали, что ни один из участвующих в исследовании учителей во время обучения в бакалавриате не проходил специальное обучение аутичных детей, некоторые из них лишь посещали обучающие семинары, тренинги для работы с аутичными детьми
F10 RESULT было установлено, что педагоги имеют разные взгляды на поведенческие характеристики детей-аутистов
F11 RESULT Учителя высказывали различные мнения о правилах, выполняемых в классе для аутичных детей, методах обучения, которые они используют во время урока, эффективности методов и их работе над навыками, которым они обучают таких детей для их адаптации в повседневной жизни
F12 RESULT Исследование также показало, что мнения педагогов о характеристиках детей с аутизмом отличались друг от друга
"
psy-3411-3-ru.txt,"Современный этап развития науки характеризуется развитием исследовательского интереса к проблеме формирования самопонимания, определяемого как важное личностное образование, помогающее включиться в общественные отношения и найти свое место в системе этих отношений. В данной статье представлены результаты исследования культурной и семейной социализации. Целью исследования явилось изучение временного аспекта и аспекта культурно – семейной социализации, которые важны для раскрытия процесса самопонимания. Исследование проводилось среди представителей старшего поколения, чье формирование и социализация происходили в советский период и которые длительное время проживали в Кыргызской Республике, входящей тогда еще в состав СССР. Вторую выборку участвующих в опросе составили представители молодого поколения, которые родились уже после распада Советского Союза и получения Кыргызстаном независимости. Такое включение разных возрастных групп с разным опытом жизни позволило исследовать влияние самопонимания как на культурную, так и на семейную социализацию кыргызов. Исследование проводилось в городах Бишкек, Нарын, селах Кыргызстана в январе-июле 2019 года. Всего в исследовании приняли участие 315 представителей титульного этноса от 17 до 81 года. Анализ и систематизация результатов полученного исследования позволили создать структурную модель самопонимания личностной и социальной идентичности титульного этноса Кыргызстана.","Современный этап развития науки характеризуется [развитием исследовательского интереса к проблеме формирования самопонимания, определяемого как важное личностное образование, помогающее включиться в общественные отношения и найти свое место в системе этих отношений|F1|USAGE]. В данной статье представлены результаты [исследования культурной и семейной социализации|F2|TASK]. Целью исследования явилось [изучение временного аспекта и аспекта культурно – семейной социализации|F3|AIM], которые [важны для раскрытия процесса самопонимания|F4|USAGE]. [Исследование проводилось среди представителей старшего поколения, чье формирование и социализация происходили в советский период и которые длительное время проживали в Кыргызской Республике, входящей тогда еще в состав СССР|F5|MATERIAL]. [Вторую выборку участвующих в опросе составили представители молодого поколения, которые родились уже после распада Советского Союза и получения Кыргызстаном независимости|F6|MATERIAL]. Такое включение разных возрастных групп с разным опытом жизни позволило [исследовать влияние самопонимания как на культурную, так и на семейную социализацию кыргызов|F7|TASK]. [Исследование проводилось в городах Бишкек, Нарын, селах Кыргызстана в январе-июле 2019 года|F8|MATERIAL]. [Всего в исследовании приняли участие 315 представителей титульного этноса от 17 до 81 года|F9|MATERIAL]. [Анализ и систематизация результатов полученного исследования позволили создать структурную модель самопонимания личностной и социальной идентичности титульного этноса Кыргызстана|F10|RESULT].","F1 USAGE развитием исследовательского интереса к проблеме формирования самопонимания, определяемого как важное личностное образование, помогающее включиться в общественные отношения и найти свое место в системе этих отношений
F2 TASK исследования культурной и семейной социализации
F3 AIM изучение временного аспекта и аспекта культурно – семейной социализации
F4 USAGE важны для раскрытия процесса самопонимания
F5 MATERIAL Исследование проводилось среди представителей старшего поколения, чье формирование и социализация происходили в советский период и которые длительное время проживали в Кыргызской Республике, входящей тогда еще в состав СССР
F6 MATERIAL Вторую выборку участвующих в опросе составили представители молодого поколения, которые родились уже после распада Советского Союза и получения Кыргызстаном независимости
F7 TASK исследовать влияние самопонимания как на культурную, так и на семейную социализацию кыргызов
F8 MATERIAL Исследование проводилось в городах Бишкек, Нарын, селах Кыргызстана в январе-июле 2019 года
F9 MATERIAL Всего в исследовании приняли участие 315 представителей титульного этноса от 17 до 81 года
F10 RESULT Анализ и систематизация результатов полученного исследования позволили создать структурную модель самопонимания личностной и социальной идентичности титульного этноса Кыргызстана
"
psy-3413-1-ru.txt,"Актуальность проблемы изучения взаимосвязи религиозной идентичности личности и толерантности в межличностных отношениях молодых казахстанцев, обусловленная ростом напряженности в межличностной сфере на почве межнациональных и религиозных конфликтов. Цель исследования: выявление и обоснование взаимосвязи религиозной идентичности личности и толерантности в межличностных отношениях молодых казахстанцев. В статье проанализирована структура религиозной идентичности молодых казахстанцев, описаны особенности видов и компонентов толерантности и их взаимосвязи. Особенности развития религиозной идентичности и толерантности у казахстанской молодежи рассмотрены сквозь призму гармоничности/дисгармоничности отношений. В исследовании использовалась новый опросник изучения религиозной идентичности «Измерение индивидуальных и социальных компонентов религиозной идентичности» Д. Ван Камп, адаптация В.А.Шороховой. В исследовании показано, что религиозная идентичность молодых казахстанцев развивается гетерохронно, имеет социальную направленность. Для молодых казахстанцев характерен высокий уровень толерантности. Как черта толерантность имеет личностную направленность. Индекс дисгармоничности отношений показал, что для молодых казахстанцев характерны достаточно гармоничные в отношения. Результаты корреляционного анализа показали, что для развития толерантности и религиозной идентичности важным для молодых казахстанцев выступает их идентификация с референтной группой. Наблюдается единство взаимовлияния личных и социальных факторов, с некоторым преимуществом влияния личных факторов. Полученные результаты исследования могут быть использованы практическими психологами для проведения дальнейшей работы с представителями различных религиозных конфессий, для формирования комфортной этнокультурной среды, способствуя сохранению и развитию этнокультурного и религиозного многообразия народов РК.","Актуальность проблемы изучения взаимосвязи религиозной идентичности личности и толерантности в межличностных отношениях молодых казахстанцев, обусловленная ростом напряженности в межличностной сфере на почве межнациональных и религиозных конфликтов. Цель исследования: [выявление и обоснование взаимосвязи религиозной идентичности личности и толерантности в межличностных отношениях молодых казахстанцев|F1|AIM]. В статье [проанализирована структура религиозной идентичности молодых казахстанцев|F2|TASK], [описаны особенности видов и компонентов толерантности и их взаимосвязи|F3|TASK]. Особенности развития религиозной идентичности и толерантности у казахстанской молодежи рассмотрены сквозь призму гармоничности/дисгармоничности отношений. В исследовании использовалась [новый опросник изучения религиозной идентичности «Измерение индивидуальных и социальных компонентов религиозной идентичности» Д. Ван Камп, адаптация В.А.Шороховой|F4|TOOL]. В исследовании показано, что [религиозная идентичность молодых казахстанцев развивается гетерохронно, имеет социальную направленность|F5|RESULT]. [Для молодых казахстанцев характерен высокий уровень толерантности|F6|RESULT]. Как черта толерантность имеет личностную направленность. [Индекс дисгармоничности отношений показал, что для молодых казахстанцев характерны достаточно гармоничные в отношения|F7|RESULT]. Результаты [корреляционного анализа|F8|METHOD] показали, что [для развития толерантности и религиозной идентичности важным для молодых казахстанцев выступает их идентификация с референтной группой|F9|RESULT]. [Наблюдается единство взаимовлияния личных и социальных факторов, с некоторым преимуществом влияния личных факторов|F10|RESULT]. [Полученные результаты исследования могут быть использованы практическими психологами для проведения дальнейшей работы с представителями различных религиозных конфессий, для формирования комфортной этнокультурной среды, способствуя сохранению и развитию этнокультурного и религиозного многообразия народов РК|F11|USAGE].","F1 AIM выявление и обоснование взаимосвязи религиозной идентичности личности и толерантности в межличностных отношениях молодых казахстанцев
F2 TASK проанализирована структура религиозной идентичности молодых казахстанцев
F3 TASK описаны особенности видов и компонентов толерантности и их взаимосвязи
F4 TOOL новый опросник изучения религиозной идентичности «Измерение индивидуальных и социальных компонентов религиозной идентичности» Д. Ван Камп, адаптация В.А.Шороховой
F5 RESULT религиозная идентичность молодых казахстанцев развивается гетерохронно, имеет социальную направленность
F6 RESULT Для молодых казахстанцев характерен высокий уровень толерантности
F7 RESULT Индекс дисгармоничности отношений показал, что для молодых казахстанцев характерны достаточно гармоничные в отношения
F8 METHOD корреляционного анализа
F9 RESULT для развития толерантности и религиозной идентичности важным для молодых казахстанцев выступает их идентификация с референтной группой
F10 RESULT Наблюдается единство взаимовлияния личных и социальных факторов, с некоторым преимуществом влияния личных факторов
F11 USAGE Полученные результаты исследования могут быть использованы практическими психологами для проведения дальнейшей работы с представителями различных религиозных конфессий, для формирования комфортной этнокультурной среды, способствуя сохранению и развитию этнокультурного и религиозного многообразия народов РК
"
psy-3415-1-ru.txt,"Актуальность исследования спортивной мотивации связана с социально-экономической политикой государства, ориентированного как на развитие профессионального спорта, так и на развитие здорового образа жизни среди населения. Проблемное поле исследования спортивной мотивации задано сопоставлением структур мотивации спортсменов-профессионалов и спортсменов-любителей. Цель исследования: исследование особенностей мотивационной системы спортсменов в период подготовки к соревнованиям. В работе использовались 3 методики, которые соответствуют выделенным диагностическим единицам: методика «Изучение мотивов занятий спортом» В.И. Тропников; опросник «Мотивы спортивной деятельности» (МСД) Е.А. Калинин; тест жизнестойкости, адаптация Д.А. Леонтьева и Е.И. Рассказовой. Полученные результаты показали, что спорт как профессиональный, так и любительский предъявляет к спортсменам схожие требования, формируя высокий уровень жизнестойкости, однако, спортсмены-профессионалы и спортсмены-любители имеют разные мотивационные профили, влияющие на их реакции и поведение в период подготовки к соревнованиям, и эту специфику в мотивации важно учитывать в тренировочном процессе, для успешного выступления спортсменов на соревнованиях. Особенностью мотивационного профиля, отличающей спортсменов-профессионалов от спортсменов-любителей, выступает значимость мотивов поощрения, материальных благ, престижа и коллективистической направленности. Особенностью мотивационного профиля, отличающей спортсменов-любителей от спортсменов-профессионалов, выступает значимость мотивов физического совершенства и улучшения самочувствия и здоровья.","[Актуальность исследования спортивной мотивации связана с социально-экономической политикой государства, ориентированного как на развитие профессионального спорта, так и на развитие здорового образа жизни среди населения|F1|USAGE]. Проблемное поле исследования спортивной мотивации задано [сопоставлением структур мотивации спортсменов-профессионалов и спортсменов-любителей|F2|TASK]. Цель исследования: [исследование особенностей мотивационной системы спортсменов в период подготовки к соревнованиям|F3|AIM]. В работе использовались 3 методики, которые соответствуют выделенным диагностическим единицам: [методика «Изучение мотивов занятий спортом» В.И. Тропников|F4|TOOL]; [опросник «Мотивы спортивной деятельности» (МСД) Е.А. Калинин|F5|TOOL]; [тест жизнестойкости, адаптация Д.А. Леонтьева и Е.И. Рассказовой|F6|TOOL]. [Полученные результаты показали, что спорт как профессиональный, так и любительский предъявляет к спортсменам схожие требования, формируя высокий уровень жизнестойкости|F7|RESULT], однако, [спортсмены-профессионалы и спортсмены-любители имеют разные мотивационные профили, влияющие на их реакции и поведение в период подготовки к соревнованиям, и эту специфику в мотивации важно учитывать в тренировочном процессе, для успешного выступления спортсменов на соревнованиях|F8|RESULT]. [Особенностью мотивационного профиля, отличающей спортсменов-профессионалов от спортсменов-любителей, выступает значимость мотивов поощрения, материальных благ, престижа и коллективистической направленности|F9|RESULT]. [Особенностью мотивационного профиля, отличающей спортсменов-любителей от спортсменов-профессионалов, выступает значимость мотивов физического совершенства и улучшения самочувствия и здоровья|F10|RESULT].","F1 USAGE Актуальность исследования спортивной мотивации связана с социально-экономической политикой государства, ориентированного как на развитие профессионального спорта, так и на развитие здорового образа жизни среди населения
F2 TASK сопоставлением структур мотивации спортсменов-профессионалов и спортсменов-любителей
F3 AIM исследование особенностей мотивационной системы спортсменов в период подготовки к соревнованиям
F4 TOOL методика «Изучение мотивов занятий спортом» В.И. Тропников
F5 TOOL опросник «Мотивы спортивной деятельности» (МСД) Е.А. Калинин
F6 TOOL тест жизнестойкости, адаптация Д.А. Леонтьева и Е.И. Рассказовой
F7 RESULT Полученные результаты показали, что спорт как профессиональный, так и любительский предъявляет к спортсменам схожие требования, формируя высокий уровень жизнестойкости
F8 RESULT спортсмены-профессионалы и спортсмены-любители имеют разные мотивационные профили, влияющие на их реакции и поведение в период подготовки к соревнованиям, и эту специфику в мотивации важно учитывать в тренировочном процессе, для успешного выступления спортсменов на соревнованиях
F9 RESULT Особенностью мотивационного профиля, отличающей спортсменов-профессионалов от спортсменов-любителей, выступает значимость мотивов поощрения, материальных благ, престижа и коллективистической направленности
F10 RESULT Особенностью мотивационного профиля, отличающей спортсменов-любителей от спортсменов-профессионалов, выступает значимость мотивов физического совершенства и улучшения самочувствия и здоровья
"
psy-3417-1-ru.txt,"Одной из острых проблем компаний на сегодняшний день является вопрос изучения повышения производительных возможностей, эффективности и трудовой мотивации в условиях разной степени сложности в коллективе. В данной статье авторы рассматривают процесс психологического «привыкания» к новым адаптивным условиям другой организации сотрудников, которой по обстоятельствам вынужденно пришлось объединяться. Исследование уровня удовлетворенности в связи с реорганизацией и изменением политики организации в новых экономических условиях и современными тенденциями и ее связи с результативностью «новых» прибывших сотрудников по совместительству дало авторам весьма интересные результаты. Авторы предполагают, что, в дальнейшем смогут помочь компаниям и организациям, и их сотрудникам подняться на новый уровень и быть результативными на рынке труда и бизнеса. Целью исследования явилась процедура изучения и влияния на самоощущение удовлетворения работой у сотрудников банка в состоянии непрерывного рабочего процесса без отрыва от организационных моментов. В данной статье авторами были проведены диагностические исследования (степень удовлетворенности персонала условиями труда и социально-психологическим климатом), а именно, компонентов, включающих определение уровня удовлетворенности персонала контактных центров Банка А и Банка Б приведена сравнительная таблица действующих на тот момент организационных условий, и определены принципы повышения уровня удовлетворенности персонала с учетом имеющихся материальных и человеческих ресурсов. Результатом данного исследования стала программа оптимизации производственных условий и социально-психологического климата персонала банка. Ценность исследования заключается в уникальности использования ситуации слияния двух банковских организаций для измерения уровня удовлетворенности сотрудников и поиска способов ее повышения. Включая процесс планирования интеграцию и обучение прибывших сотрудников, специалисты могут выстроить оптимальную модель комфортного слияния сотрудников в новые условия компании с ее выстроенной корпоративной культурой профессиональной деятельности, понизив тем самым уровень текучки кадров и не нарушая баланса, повысить психологический климат в коллективе. Новизной исследования стало малое количество эмпирических экспериментов по изучению уровня удовлетворенности персонала в казахстанских банках именно в период их слияния.","Одной из острых проблем компаний на сегодняшний день является вопрос [изучения повышения производительных возможностей, эффективности и трудовой мотивации в условиях разной степени сложности в коллективе|F1|TASK]. В данной статье авторы рассматривают процесс психологического «привыкания» к новым адаптивным условиям другой организации сотрудников, которой по обстоятельствам вынужденно пришлось объединяться. Исследование уровня удовлетворенности в связи с реорганизацией и изменением политики организации в новых экономических условиях и современными тенденциями и ее связи с результативностью «новых» прибывших сотрудников по совместительству дало авторам весьма интересные результаты. Авторы предполагают, что, в дальнейшем смогут помочь компаниям и организациям, и их сотрудникам подняться на новый уровень и быть результативными на рынке труда и бизнеса. Целью исследования явилась [процедура изучения и влияния на самоощущение удовлетворения работой у сотрудников банка в состоянии непрерывного рабочего процесса без отрыва от организационных моментов|F2|AIM]. В данной статье авторами были проведены [диагностические исследования (степень удовлетворенности персонала условиями труда и социально-психологическим климатом)|F3|METHOD], а именно, компонентов, включающих [определение уровня удовлетворенности персонала контактных центров Банка А и Банка Б|F4|TASK] приведена [сравнительная таблица действующих на тот момент организационных условий|F5|MATERIAL], и определены [принципы повышения уровня удовлетворенности персонала с учетом имеющихся материальных и человеческих ресурсов|F6|TASK]. Результатом данного исследования стала [программа оптимизации производственных условий и социально-психологического климата персонала банка|F7|RESULT]. Ценность исследования заключается в уникальности использования ситуации слияния двух банковских организаций для измерения уровня удовлетворенности сотрудников и поиска способов ее повышения. [Включая процесс планирования интеграцию и обучение прибывших сотрудников, специалисты могут выстроить оптимальную модель комфортного слияния сотрудников в новые условия компании с ее выстроенной корпоративной культурой профессиональной деятельности, понизив тем самым уровень текучки кадров и не нарушая баланса, повысить психологический климат в коллективе|F8|USAGE]. Новизной исследования стало малое количество эмпирических экспериментов по изучению уровня удовлетворенности персонала в казахстанских банках именно в период их слияния.","F1 TASK изучения повышения производительных возможностей, эффективности и трудовой мотивации в условиях разной степени сложности в коллективе
F2 AIM процедура изучения и влияния на самоощущение удовлетворения работой у сотрудников банка в состоянии непрерывного рабочего процесса без отрыва от организационных моментов
F3 METHOD диагностические исследования (степень удовлетворенности персонала условиями труда и социально-психологическим климатом)
F4 TASK определение уровня удовлетворенности персонала контактных центров Банка А и Банка Б
F5 MATERIAL сравнительная таблица действующих на тот момент организационных условий
F6 TASK принципы повышения уровня удовлетворенности персонала с учетом имеющихся материальных и человеческих ресурсов
F7 RESULT программа оптимизации производственных условий и социально-психологического климата персонала банка
F8 USAGE Включая процесс планирования интеграцию и обучение прибывших сотрудников, специалисты могут выстроить оптимальную модель комфортного слияния сотрудников в новые условия компании с ее выстроенной корпоративной культурой профессиональной деятельности, понизив тем самым уровень текучки кадров и не нарушая баланса, повысить психологический климат в коллективе
"
