filename,abstract,annotation,entities,relations
it-1367-1-ru.txt,"Необходимость разработки формата приложений на основе современных технологий обусловлена актуальностью оптимального функционирования системы экологического мониторинга. Данная система состоит из несколько взаимодействующих модулей. Одна из них «модуль усвоения данных», которая моделирует процесс с применением алгоритма усвоения данных. Для оптимального моделирования необходимо исходные файлы форматом Network Common Data Form (NetCDF), который будет формироваться с разработанного приложения. В работе дается характеристика, особенности, структура формата NetCDF, представлены существующие утилиты и программные обеспечения, инструменты, программы визуализации по работе с данным форматом. Анализируются их назначение, функции. Приведены созданные файлы NetCDF с помощью математической программы Scilab, которая является альтернативой MATLAB. В работе представлена разработанная база данных по загрязнителям атмосферного воздуха. Описана структура основных таблиц : поля, тип данных, описание поля, свойства поля. Для создания базы данных использовалась система управления базами данных (СУБД) MS SQL Приведена реляционная модель созданной базы данных. Показано взаимодействие основных составляющих информационно-моделирующей системы.","Необходимость разработки формата приложений на основе современных технологий обусловлена актуальностью оптимального функционирования [системы экологического мониторинга|T1|TERM]. Данная система состоит из несколько взаимодействующих модулей. Одна из них «[модуль усвоения данных|T2|TERM]», которая моделирует процесс с применением [алгоритма усвоения данных|T3|TERM]. Для оптимального моделирования необходимо [исходные файлы|T4|TERM] форматом [Network Common Data Form|T5|TERM] ([NetCDF|T6|TERM]), который будет формироваться с разработанного приложения. В работе дается характеристика, особенности, структура формата [NetCDF|T7|TERM], представлены существующие утилиты и программные обеспечения, инструменты, программы визуализации по работе с данным форматом. Анализируются их назначение, функции. Приведены созданные файлы [NetCDF|T8|TERM] с помощью [математической программы|T9|TERM] [Scilab|T10|TERM], которая является альтернативой [MATLAB|T11|TERM]. В работе представлена разработанная [база данных|T12|TERM] по [загрязнителям атмосферного воздуха|T13|TERM]. Описана структура основных таблиц : поля, тип данных, описание поля, свойства поля. Для создания [базы данных|T14|TERM] использовалась [система управления базами данных|T15|TERM] ([СУБД|T16|TERM]) [MS SQL|T17|TERM] Приведена [реляционная модель|T18|TERM] созданной [базы данных|T19|TERM]. Показано взаимодействие основных составляющих [информационно-моделирующей системы|T20|TERM].","T1 TERM системы экологического мониторинга
T2 TERM модуль усвоения данных
T3 TERM алгоритма усвоения данных
T4 TERM исходные файлы
T5 TERM Network Common Data Form
T6 TERM NetCDF
T7 TERM NetCDF
T8 TERM NetCDF
T9 TERM математической программы
T10 TERM Scilab
T11 TERM MATLAB
T12 TERM база данных
T13 TERM загрязнителям атмосферного воздуха
T14 TERM базы данных
T15 TERM система управления базами данных
T16 TERM СУБД
T17 TERM MS SQL
T18 TERM реляционная модель
T19 TERM базы данных
T20 TERM информационно-моделирующей системы
","R1 HAS_PART Arg1:T1 Arg2:T2
R2 HAS_USE Arg1:T3 Arg2:T2
R3 SYNONYM Arg1:T5 Arg2:T6
R4 HAS_USE Arg1:T10 Arg2:T6
R8 HAS_USE Arg1:T15 Arg2:T12
R9 SYNONYM Arg1:T15 Arg2:T16
R11 HAS_CHARACTERISTIC Arg1:T12 Arg2:T18
R12 HAS_PART Arg1:T20 Arg2:T12
"
it-1369-1-ru.txt,"Стремительное распространение социальных онлайн-сервисов и развитие технологий Больших Данных инициировали интерес к использованию сведений из социальных сетей в различных отраслях. Сегодня приобретают популярность технологии ""мониторинга социальных сетей""(social listening) и контент-анализа. Данные сервисы в основном представлены зарубежными разработками, лингвистические словари, которых построены на английском языке, и они плохо адаптированы под русский и казахский языки. В представленной статье описан процесс проектирования и разработки информационной системы для ""мониторинга социальных сетей адаптированной под специфику казахского и русского языка, а также форм сленгового общения, с целью определения эмоционального окраса пользовательского восприятия контента, и оценки социального самочувствия в стране/регионе. В работе представлен алгоритм информационной системы с описанием функциональных возможностей, а также методы и модели. Кроме этого, рассматривается продукционная модель оценки социального самочувствия и модель семантического профиля восприятия обществом событий. Проведен сравнительный анализ разработок в вопросах мониторинга мнений для выявления сильных и слабых сторон. Информационная система даст возможность проводить мониторинг СМИ, социальных сетей, анализа управления репутацией, анализа пользовательского восприятия контента сети Интернет на региональном, республиканском и международном уровне.","Стремительное распространение социальных [онлайн-сервисов|T1|TERM] и развитие [технологий Больших Данных|T2|TERM] инициировали интерес к использованию сведений из социальных сетей в различных отраслях. Сегодня приобретают популярность технологии ""[мониторинга социальных сетей|T3|TERM]""([social listening|T4|TERM]) и [контент-анализа|T5|TERM]. Данные сервисы в основном представлены зарубежными разработками, лингвистические словари, которых построены на английском языке, и они плохо адаптированы под русский и казахский языки. В представленной статье описан [процесс проектирования|T6|TERM] и [разработки информационной системы|T7|TERM] для ""[мониторинга социальных сетей|T8|TERM] адаптированной под специфику казахского и русского языка, а также форм сленгового общения, с целью определения [эмоционального окраса|T9|TERM] пользовательского восприятия контента, и [оценки социального самочувствия|T10|TERM] в стране/регионе. В работе представлен [алгоритм информационной системы|T11|TERM] с описанием [функциональных возможностей|T12|TERM], а также [методы|T13|TERM] и [модели|T14|TERM]. Кроме этого, рассматривается [продукционная модель оценки социального самочувствия|T15|TERM] и [модель семантического профиля восприятия обществом событий|T16|TERM]. Проведен [сравнительный анализ разработок|T17|TERM] в вопросах [мониторинга мнений|T18|TERM] для выявления сильных и слабых сторон. [Информационная система|T19|TERM] даст возможность проводить [мониторинг СМИ|T20|TERM], социальных сетей, [анализа управления репутацией|T21|TERM], [анализа пользовательского восприятия контента|T22|TERM] [сети Интернет|T23|TERM] на региональном, республиканском и международном уровне.","T1 TERM онлайн-сервисов
T2 TERM технологий Больших Данных
T3 TERM мониторинга социальных сетей
T4 TERM social listening
T5 TERM контент-анализа
T6 TERM процесс проектирования
T7 TERM разработки информационной системы
T8 TERM мониторинга социальных сетей
T9 TERM эмоционального окраса
T10 TERM оценки социального самочувствия
T11 TERM алгоритм информационной системы
T12 TERM функциональных возможностей
T13 TERM методы
T14 TERM модели
T15 TERM продукционная модель оценки социального самочувствия
T16 TERM модель семантического профиля восприятия обществом событий
T17 TERM сравнительный анализ разработок
T18 TERM мониторинга мнений
T19 TERM Информационная система
T20 TERM мониторинг СМИ
T21 TERM анализа управления репутацией
T22 TERM анализа пользовательского восприятия контента
T23 TERM сети Интернет
","R1 SYNONYM Arg1:T3 Arg2:T4
R2 HAS_USE Arg1:T3 Arg2:T6
R3 HAS_USE Arg1:T3 Arg2:T7
R5 HAS_PART Arg1:T19 Arg2:T11
R6 HAS_USE Arg1:T19 Arg2:T20
R7 HAS_USE Arg1:T19 Arg2:T21
R8 HAS_USE Arg1:T19 Arg2:T22
"
it-1371-1-ru.txt,"В настоящее время в связи с резким увеличением объема информации на естественных языках в интернете и социальных сетях исследование и разработки в области вычислительной лингвистики становятся чрезвычайно актуальными. Как известно, вычислительная лингвистика является новым научным направлением и входит в состав вычислительной науки - информатики. Вычислительная лингвистика включает в себе компьютерную обработку естественных языков (ОЕЯ) – Natural Language Proccesing (NLP). Создание унифицированной системы разметки для тюркских языков (UniTurk) является актуальной задачей для обработки тюркских языков. Единая система разметок позволит унифицировать разметки, облегчить их понимание и использовать общее программное обеспечение, а также проводить различные исследования по лингво-статистическому сравнительному анализу среди тюркских языков. В статье представлены некоторые результаты, полученные в ходе выполнения запланированных работ над международным проектом по созданию многоязычной онтологии и единого метаязыка морфологии тюркских языков. С помощью онтологических моделей формализованы морфологические правила тюркских (казахского, киргизского, татарского, турецкого и узбекского) языков. Результат этих работ могут быть использованы для решения задач NLP, например, для разметка корпусов, в системах извлечения знаний, системах информационного поиска, машинного перевода и т.д.","В настоящее время в связи с резким увеличением [объема информации|T1|TERM] на [естественных языках|T2|TERM] в [интернете|T3|TERM] и социальных сетях исследование и разработки в области [вычислительной лингвистики|T4|TERM] становятся чрезвычайно актуальными. Как известно, [вычислительная лингвистика|T5|TERM] является новым научным направлением и входит в состав вычислительной науки - информатики. [Вычислительная лингвистика|T6|TERM] включает в себе [компьютерную обработку естественных языков|T7|TERM] ([ОЕЯ|T8|TERM]) – [Natural Language Proccesing|T9|TERM] ([NLP|T10|TERM]). Создание [унифицированной системы разметки|T11|TERM] для [тюркских языков|T12|TERM] ([UniTurk|T13|TERM]) является актуальной задачей для [обработки тюркских языков|T14|TERM]. [Единая система разметок|T15|TERM] позволит унифицировать разметки, облегчить их понимание и использовать общее [программное обеспечение|T16|TERM], а также проводить различные исследования по [лингво-статистическому сравнительному анализу|T17|TERM] среди [тюркских языков|T18|TERM]. В статье представлены некоторые результаты, полученные в ходе выполнения запланированных работ над международным проектом по созданию [многоязычной онтологии|T19|TERM] и [единого метаязыка|T20|TERM] [морфологии|T21|TERM] [тюркских языков|T22|TERM]. С помощью [онтологических моделей|T23|TERM] формализованы [морфологические правила|T24|TERM] тюркских (казахского, киргизского, татарского, турецкого и узбекского) языков. Результат этих работ могут быть использованы для решения [задач NLP|T25|TERM], например, для [разметка корпусов|T26|TERM], в [системах извлечения знаний|T27|TERM], [системах информационного поиска|T28|TERM], [машинного перевода|T29|TERM] и т.д.","T1 TERM объема информации
T2 TERM естественных языках
T3 TERM интернете
T4 TERM вычислительной лингвистики
T5 TERM вычислительная лингвистика
T6 TERM Вычислительная лингвистика
T7 TERM компьютерную обработку естественных языков
T8 TERM ОЕЯ
T9 TERM Natural Language Proccesing
T10 TERM NLP
T11 TERM унифицированной системы разметки
T12 TERM тюркских языков
T13 TERM UniTurk
T14 TERM обработки тюркских языков
T15 TERM Единая система разметок
T16 TERM программное обеспечение
T17 TERM лингво-статистическому сравнительному анализу
T18 TERM тюркских языков
T19 TERM многоязычной онтологии
T20 TERM единого метаязыка
T21 TERM морфологии
T22 TERM тюркских языков
T23 TERM онтологических моделей
T24 TERM морфологические правила
T25 TERM задач NLP
T26 TERM разметка корпусов
T27 TERM системах извлечения знаний
T28 TERM системах информационного поиска
T29 TERM машинного перевода
","R1 SUBCLASS_OF Arg1:T7 Arg2:T4
R2 SYNONYM Arg1:T7 Arg2:T8
R3 SYNONYM Arg1:T7 Arg2:T9
R4 SYNONYM Arg1:T9 Arg2:T10
R6 HAS_USE Arg1:T13 Arg2:T14
R7 HAS_CHARACTERISTIC Arg1:T11 Arg2:T12
R8 SUBCLASS_OF Arg1:T26 Arg2:T25
R9 SUBCLASS_OF Arg1:T29 Arg2:T25
R10 HAS_CHARACTERISTIC Arg1:T21 Arg2:T22
"
it-1558-3-ru.txt,"Для математической модели трехсекторного экономического кластера ставится задача оптимального управления на бесконечном интервале времени. Рассматривается задача оптимальной стабилизации для одного класса нелинейных систем с коэффициентами, зависящими от состояния объекта управления с ограничениями на управления. Найдено нелинейное стабилизирующее управление с учетом ограничений на управление, которое зависит от состояния системы и текущего момента времени. Полученные результаты для нелинейной системы, используются при конструировании управляющих параметров для трехсекторного экономического кластера на бесконечном интервале времени. Для рассматриваемого примера определены оптимальное распределение трудовых и инвестиционных ресурсов, которые удовлетворяют балансовым соотношениям. Приведенный пример иллюстрирует использование предлагаемого метода управления нелинейной системы.","Для [математической модели|T1|TERM] трехсекторного экономического кластера ставится [задача оптимального управления|T2|TERM] на [бесконечном интервале времени|T3|TERM]. Рассматривается [задача оптимальной стабилизации|T4|TERM] для одного класса [нелинейных систем|T5|TERM] с коэффициентами, зависящими от состояния объекта управления с [ограничениями на управления|T6|TERM]. Найдено [нелинейное стабилизирующее управление|T7|TERM] с учетом [ограничений на управление|T8|TERM], которое зависит от состояния системы и текущего момента времени. Полученные результаты для [нелинейной системы|T9|TERM], используются при конструировании [управляющих параметров|T10|TERM] для трехсекторного экономического кластера на [бесконечном интервале времени|T11|TERM]. Для рассматриваемого примера определены оптимальное распределение трудовых и инвестиционных ресурсов, которые удовлетворяют балансовым соотношениям. Приведенный пример иллюстрирует использование предлагаемого [метода управления нелинейной системы|T12|TERM].","T1 TERM математической модели
T2 TERM задача оптимального управления
T3 TERM бесконечном интервале времени
T4 TERM задача оптимальной стабилизации
T5 TERM нелинейных систем
T6 TERM ограничениями на управления
T7 TERM нелинейное стабилизирующее управление
T8 TERM ограничений на управление
T9 TERM нелинейной системы
T10 TERM управляющих параметров
T11 TERM бесконечном интервале времени
T12 TERM метода управления нелинейной системы
","R1 HAS_CHARACTERISTIC Arg1:T2 Arg2:T3
R2 HAS_CHARACTERISTIC Arg1:T4 Arg2:T5
R3 HAS_CHARACTERISTIC Arg1:T4 Arg2:T6
R4 HAS_CHARACTERISTIC Arg1:T7 Arg2:T6
R8 HAS_CHARACTERISTIC Arg1:T10 Arg2:T11
R5 HAS_USE Arg1:T10 Arg2:T5
R6 HAS_CHARACTERISTIC Arg1:T10 Arg2:T3

"
it-1560-3-ru.txt,"В статье описаны методы применения аутентификации на основе второго фактора. Рассмотрен пример двухфакторной аутентификации с использованием мобильных устройств в качестве идентификаторов и генерации временного пароля на основе хеш-функции стандартов шифрования. Для автоматизированной системы управления разработаны модель двухфакторной аутентификации и последовательный алгоритм генерации временного пароля с использованием математических функций. Математическая функция выбирается из массива функций. Для защиты вскрытия одноразового пароля считывается секретная строка, состоящая из последовательности символов, которая будет генерироваться случайным образом. Осуществлена программная реализации напрограммной платформе Node.js с использованием языка программирования JavaScript, а так же фреймворков и подключенных системных библиотек. Использована документоориентированная система управления базами данных с открытым исходным кодом MongoDB, для хранения и обработки информации. Проведен анализ программной реализации предложенного алгоритма.","В статье описаны методы применения аутентификации на основе второго фактора. Рассмотрен пример [двухфакторной аутентификации|T1|TERM] с использованием [мобильных устройств|T2|TERM] в качестве [идентификаторов|T3|TERM] и генерации [временного пароля|T4|TERM] на основе [хеш-функции|T5|TERM] [стандартов шифрования|T6|TERM]. Для [автоматизированной системы управления|T7|TERM] разработаны [модель двухфакторной аутентификации|T8|TERM] и последовательный [алгоритм генерации временного пароля|T9|TERM] с использованием [математических функций|T10|TERM]. [Математическая функция|T11|TERM] выбирается из [массива функций|T12|TERM]. Для защиты вскрытия [одноразового пароля|T13|TERM] считывается [секретная строка|T14|TERM], состоящая из [последовательности символов|T15|TERM], которая будет генерироваться случайным образом. Осуществлена программная реализации напрограммной платформе [Node.js|T16|TERM] с использованием [языка программирования|T17|TERM] [JavaScript|T18|TERM], а так же [фреймворков|T19|TERM] и подключенных [системных библиотек|T20|TERM]. Использована документоориентированная [система управления базами данных|T21|TERM] с [открытым исходным кодом|T22|TERM] [MongoDB|T23|TERM], для [хранения и обработки информации|T24|TERM]. Проведен анализ [программной реализации|T25|TERM] предложенного [алгоритма|T26|TERM].","T1 TERM двухфакторной аутентификации
T2 TERM мобильных устройств
T3 TERM идентификаторов
T4 TERM временного пароля
T5 TERM хеш-функции
T6 TERM стандартов шифрования
T7 TERM автоматизированной системы управления
T8 TERM модель двухфакторной аутентификации
T9 TERM алгоритм генерации временного пароля
T10 TERM математических функций
T11 TERM Математическая функция
T12 TERM массива функций
T13 TERM одноразового пароля
T14 TERM секретная строка
T15 TERM последовательности символов
T16 TERM Node.js
T17 TERM языка программирования
T18 TERM JavaScript
T19 TERM фреймворков
T20 TERM системных библиотек
T21 TERM система управления базами данных
T22 TERM открытым исходным кодом
T23 TERM MongoDB
T24 TERM хранения и обработки информации
T25 TERM программной реализации
T26 TERM алгоритма
","R1 HAS_USE Arg1:T2 Arg2:T1
R2 HAS_USE Arg1:T3 Arg2:T1
R3 HAS_USE Arg1:T5 Arg2:T4
R4 HAS_PART Arg1:T6 Arg2:T5
R5 HAS_USE Arg1:T8 Arg2:T7
R6 HAS_USE Arg1:T10 Arg2:T9
R7 SUBCLASS_OF Arg1:T10 Arg2:T12
R8 HAS_PART Arg1:T14 Arg2:T15
R9 SUBCLASS_OF Arg1:T18 Arg2:T17
R13 HAS_CHARACTERISTIC Arg1:T21 Arg2:T22
R14 SUBCLASS_OF Arg1:T23 Arg2:T21
R15 HAS_USE Arg1:T21 Arg2:T24
R16 HAS_USE Arg1:T26 Arg2:T25
"
it-1562-1-ru.txt,"В работе рассматривается метод расчёта кинематики шарнирной конструкции и применение генетического алгоритма для обеспечения требуемой траектории движения заданных точек конструкции. Сначала описаны типы звеньев произвольных шарнирных конструкций, их математическое описание и построение на их основе систем нелинейных уравнений, описывающих кинематику шарнирных конструкций. Полученные нелинейные системы решаются многократным применением метода Ньютона для систем нелинейных уравнений. Построенный алгоритм применяется для расчёта кинематики шарнирной конструкции, представляющей собой модель конечности «кинетических скульптур» Тео Янсена. Целью расчёта является подбор оптимальных параметров конечности, которые позволят применить её для модели робота с четырьмя опорными конечностями. Строится функция приспособленности траектории опорной точки и методом генетического отбора подбирается лучшая траектория, которая обеспечивает прямолинейное движение корпуса робота относительно земли. Теоретические расчёты подкрепляются численным моделированием и визуализацией. В конце статьи приводится график, иллюстрирующий успешное применение разработанной модели. На основе теоретических построений создан реальный прототип шагающего робота с четырьмя конечностями методом 3D печати комплектующих и последующей сборки.","В работе рассматривается [метод расчёта кинематики шарнирной конструкции|T1|TERM] и применение [генетического алгоритма|T2|TERM] для обеспечения требуемой [траектории движения|T3|TERM] заданных точек конструкции. Сначала описаны типы звеньев произвольных шарнирных конструкций, их [математическое описание|T4|TERM] и построение на их основе [систем нелинейных уравнений|T5|TERM], описывающих [кинематику шарнирных конструкций|T6|TERM]. Полученные [нелинейные системы|T7|TERM] решаются многократным применением [метода Ньютона|T8|TERM] для [систем нелинейных уравнений|T9|TERM]. Построенный [алгоритм|T10|TERM] применяется для расчёта [кинематики шарнирной конструкции|T11|TERM], представляющей собой [модель конечности «кинетических скульптур»|T12|TERM] Тео Янсена. Целью расчёта является подбор оптимальных [параметров конечности|T13|TERM], которые позволят применить её для [модели робота|T14|TERM] с [четырьмя опорными конечностями|T15|VALUE]. Строится [функция приспособленности|T16|TERM] траектории опорной точки и [методом генетического отбора|T17|TERM] подбирается лучшая траектория, которая обеспечивает [прямолинейное движение|T18|TERM] [корпуса робота|T19|TERM] относительно земли. Теоретические расчёты подкрепляются [численным моделированием|T20|TERM] и [визуализацией|T21|TERM]. В конце статьи приводится график, иллюстрирующий успешное применение разработанной [модели|T22|TERM]. На основе теоретических построений создан реальный [прототип шагающего робота|T23|TERM] с [четырьмя конечностями|T24|VALUE] [методом 3D печати|T25|TERM] комплектующих и последующей сборки.","T1 TERM метод расчёта кинематики шарнирной конструкции
T2 TERM генетического алгоритма
T3 TERM траектории движения
T4 TERM математическое описание
T5 TERM систем нелинейных уравнений
T6 TERM кинематику шарнирных конструкций
T7 TERM нелинейные системы
T8 TERM метода Ньютона
T9 TERM систем нелинейных уравнений
T10 TERM алгоритм
T11 TERM кинематики шарнирной конструкции
T12 TERM модель конечности «кинетических скульптур»
T13 TERM параметров конечности
T14 TERM модели робота
T15 VALUE четырьмя опорными конечностями
T16 TERM функция приспособленности
T17 TERM методом генетического отбора
T18 TERM прямолинейное движение
T19 TERM корпуса робота
T20 TERM численным моделированием
T21 TERM визуализацией
T22 TERM модели
T23 TERM прототип шагающего робота
T24 VALUE четырьмя конечностями
T25 TERM методом 3D печати
","R1 HAS_USE Arg1:T2 Arg2:T3
R2 HAS_USE Arg1:T5 Arg2:T6
R3 HAS_USE Arg1:T8 Arg2:T5
R4 HAS_USE Arg1:T10 Arg2:T11
R6 HAS_PART Arg1:T14 Arg2:T19
R7 HAS_VALUE Arg1:T14 Arg2:T15
R8 HAS_VALUE Arg1:T23 Arg2:T24
"
it-1681-2-ru.txt,"В данной работе было разработано высокопроизводительное приложение для визуализации сеточных моделей больших размеров (около млн. ячеек), с использованием технологий Vulkan. Vulkan – это новый программный интерфейс (API) управляющий графическим процессором (GPU). Vulkan является низкоуровневым API, благодоря чему была использована вся возможность графического процессора такие как: управление памятью и синхронизацией, проверки на ошибки, создание команд выполняемых графическим процессором и т.д. Таким образом, показывает высокую производительность при меньшей нагрузке на центральный процессор. Для работы приложения без прерывания была использована двойная буферизация буфера вершин и многопоточность процессора. Для визуализаций 2D и 3D модели были взяты результаты каждой сотой итерации метода Якоби для решения уравнения Пуассона. Используя вышеуказанные методы, приведены примеры сеточной модели. В результате данной работы был разработан и представлен прототип визуализатора, которую можно использовать для любых результатов численного математического моделирования на структуированных и неструктурированных 3D сетках.","В данной работе было разработано [высокопроизводительное приложение|T1|TERM] для [визуализации сеточных моделей|T2|TERM] больших размеров (около [млн. ячеек|T3|VALUE]), с использованием технологий [Vulkan|T4|TERM]. [Vulkan|T5|TERM] – это новый [программный интерфейс|T6|TERM] ([API|T7|TERM]) управляющий [графическим процессором|T8|TERM] ([GPU|T9|TERM]). [Vulkan|T10|TERM] является [низкоуровневым API|T11|TERM], благодоря чему была использована вся возможность [графического процессора|T12|TERM] такие как: [управление памятью|T13|TERM] и [синхронизацией|T14|TERM], [проверки на ошибки|T15|TERM], [создание команд|T16|TERM] выполняемых [графическим процессором|T17|TERM] и т.д. Таким образом, показывает [высокую производительность|T18|TERM] при меньшей нагрузке на [центральный процессор|T19|TERM]. Для работы приложения без прерывания была использована [двойная буферизация|T20|TERM] [буфера вершин|T21|TERM] и [многопоточность процессора|T22|TERM]. Для [визуализаций|T23|TERM] [2D и 3D модели|T24|TERM] были взяты результаты каждой [сотой итерации|T25|VALUE] [метода Якоби|T26|TERM] для решения [уравнения Пуассона|T27|TERM]. Используя вышеуказанные методы, приведены примеры [сеточной модели|T28|TERM]. В результате данной работы был разработан и представлен [прототип визуализатора|T29|TERM], которую можно использовать для любых результатов [численного математического моделирования|T30|TERM] на структуированных и неструктурированных [3D сетках|T31|TERM].","T1 TERM высокопроизводительное приложение
T2 TERM визуализации сеточных моделей
T3 VALUE млн. ячеек
T4 TERM Vulkan
T5 TERM Vulkan
T6 TERM программный интерфейс
T7 TERM API
T8 TERM графическим процессором
T9 TERM GPU
T10 TERM Vulkan
T11 TERM низкоуровневым API
T12 TERM графического процессора
T13 TERM управление памятью
T14 TERM синхронизацией
T15 TERM проверки на ошибки
T16 TERM создание команд
T17 TERM графическим процессором
T18 TERM высокую производительность
T19 TERM центральный процессор
T20 TERM двойная буферизация
T21 TERM буфера вершин
T22 TERM многопоточность процессора
T23 TERM визуализаций
T24 TERM 2D и 3D модели
T25 VALUE сотой итерации
T26 TERM метода Якоби
T27 TERM уравнения Пуассона
T28 TERM сеточной модели
T29 TERM прототип визуализатора
T30 TERM численного математического моделирования
T31 TERM 3D сетках
","R1 HAS_USE Arg1:T1 Arg2:T2
R2 HAS_VALUE Arg1:T2 Arg2:T3
R3 HAS_USE Arg1:T4 Arg2:T1
R4 SUBCLASS_OF Arg1:T4 Arg2:T6
R5 SYNONYM Arg1:T6 Arg2:T7
R7 SYNONYM Arg1:T8 Arg2:T9
R8 SUBCLASS_OF Arg1:T11 Arg2:T7
R9 HAS_PART Arg1:T8 Arg2:T13
R10 HAS_PART Arg1:T8 Arg2:T14
R11 HAS_PART Arg1:T8 Arg2:T15
R12 HAS_PART Arg1:T8 Arg2:T16
R14 HAS_CHARACTERISTIC Arg1:T1 Arg2:T18
R17 HAS_USE Arg1:T24 Arg2:T23
R18 HAS_VALUE Arg1:T26 Arg2:T25
R19 HAS_USE Arg1:T26 Arg2:T27
R20 HAS_USE Arg1:T29 Arg2:T30
R21 HAS_USE Arg1:T31 Arg2:T30
"
it-1684-1-ru.txt,"Процесс перекачки высоковязкой и высокозастывающей нефти, при транспортировке по магистральным трубопроводам, представляет собой сложную технологическую и техническую задачу, что приводит к необходимости его детального исследования. В работе проведен анализ информационных систем магистральных нефтепроводов и процесса автоматизации горячей перекачки нефти. Основная цель исследования - показать возможные пути создания и проектирования систем контроля и управления транспортировки нефти по магистральному трубопроводу. Современные системы управления разобщены по видам получения, средствам и методам обработки. Все программные пакеты работают автономно и имеют собственный входной формат, за исключением система оперативного диспетчерского контроля и управления, работающая в режиме реального времени. Осуществлен анализ автоматизированных систем управления процессом перекачки нефти. Автоматизация технологических процессов предполагает не только создание автоматизированного рабочего места, но и защиту оборудования от разрушения. В результате проведенного анализа показана необходимость в создании автоматизированной информационной системы, позволяющей структурировать многочисленные данные в процессе перекачки нефти и проводить мониторинг основных технологических параметров нефтепровода. Проведенные исследования могут быть использованы при разработке информационных систем контроля и управления процессом транспортировки нефти и создании программного продукта.","Процесс перекачки высоковязкой и высокозастывающей нефти, при транспортировке по магистральным трубопроводам, представляет собой сложную технологическую и техническую задачу, что приводит к необходимости его детального исследования. В работе проведен анализ [информационных систем|T1|TERM] магистральных нефтепроводов и [процесса автоматизации|T2|TERM] горячей перекачки нефти. Основная цель исследования - показать возможные пути создания и проектирования [систем контроля и управления|T3|TERM] транспортировки нефти по магистральному трубопроводу. Современные [системы управления|T4|TERM] разобщены по видам получения, средствам и методам обработки. Все [программные пакеты|T5|TERM] работают автономно и имеют собственный входной формат, за исключением [система оперативного диспетчерского контроля и управления|T6|TERM], работающая в [режиме реального времени|T7|TERM]. Осуществлен анализ автоматизированных [систем управления|T8|TERM] процессом перекачки нефти. [Автоматизация технологических процессов|T9|TERM] предполагает не только [создание автоматизированного рабочего места|T10|TERM], но и защиту оборудования от разрушения. В результате проведенного анализа показана необходимость в создании [автоматизированной информационной системы|T11|TERM], позволяющей структурировать многочисленные данные в процессе перекачки нефти и проводить мониторинг основных технологических параметров нефтепровода. Проведенные исследования могут быть использованы при разработке информационных [систем контроля и управления|T12|TERM] процессом транспортировки нефти и создании [программного продукта|T13|TERM].","T1 TERM информационных систем
T2 TERM процесса автоматизации
T3 TERM систем контроля и управления
T4 TERM системы управления
T5 TERM программные пакеты
T6 TERM система оперативного диспетчерского контроля и управления
T7 TERM режиме реального времени
T8 TERM систем управления
T9 TERM Автоматизация технологических процессов
T10 TERM создание автоматизированного рабочего места
T11 TERM автоматизированной информационной системы
T12 TERM систем контроля и управления
T13 TERM программного продукта
","R1 HAS_PART Arg1:T2 Arg2:T1
R2 SUBCLASS_OF Arg1:T3 Arg2:T4
R3 HAS_CHARACTERISTIC Arg1:T6 Arg2:T7
R4 SUBCLASS_OF Arg1:T6 Arg2:T4
R5 HAS_PART Arg1:T9 Arg2:T10
R6 SUBCLASS_OF Arg1:T11 Arg2:T1
R8 SUBCLASS_OF Arg1:T12 Arg2:T13
"
