filename,abstract,annotation,entities,relations
ling-12226-1-ru.txt,"Целью данной статьи является исследование процессов формирования эстетики социалистического реализма в литературах тюркоязычных народов бывших союзных республик. Социалистический реализм, как направление литературы ХХ века, впервые начал формироваться в русской литературе еще в досоветскую эпоху – в народнической, а позднее в так называемой пролетарской литературе. Политика огосударствления литературы в период установления Советской власти требовала единой эстетической системы в литературе. Из всех существующих систем этим требованиям соответствовало направление, которое в 1932 году председателем Оргкомитета СП СССР  И.Гронским было названо социалистическим реализмом. Формирование эстетики соцреализма в русской литературе было обусловлено и художественными явлениями литературы, и официальной доктриной советского государства. В литературах тюркоязычных народов СССР соцреализм, как литературное направление, возник вследствие политики огосударствления литературы. Многие века литературы этих народов опирались на общетюркский духовно-религиозный и культурно-мифологический фундамент, в период с XI по XIX века развивались в контексте восточной классической литературы.Литературы тюркоязычных народов бывшего СССР в период формирования эстетики соцреализма скорее напоминали эпигонскую литературу. Тем не менее, система образов, фабульные конфигурации произведений, композиционные  и  архитектонические формы  существенно разнились от русской советской литературы. Авторы опирались на традиции устного народного творчества и классической восточной литературы.","Целью данной статьи является исследование процессов формирования [эстетики социалистического реализма|T1|TERM] в [литературах тюркоязычных народов|T2|TERM] бывших союзных республик. [Социалистический реализм|T3|TERM], как направление литературы [ХХ века|T4|VALUE], впервые начал формироваться в [русской литературе|T5|TERM] еще в [досоветскую эпоху|T6|TERM] – в народнической, а позднее в так называемой [пролетарской литературе|T7|TERM]. Политика [огосударствления литературы|T8|TERM] в период установления Советской власти требовала единой эстетической системы в литературе. Из всех существующих систем этим требованиям соответствовало направление, которое в [1932 году|T9|VALUE] председателем Оргкомитета СП СССР  И.Гронским было названо [социалистическим реализмом|T10|TERM]. Формирование эстетики [соцреализма|T11|TERM] в [русской литературе|T12|TERM] было обусловлено и художественными явлениями литературы, и официальной доктриной [советского государства|T13|TERM]. В [литературах тюркоязычных народов|T14|TERM] СССР [соцреализм|T15|TERM], как литературное направление, возник вследствие политики [огосударствления литературы|T16|TERM]. Многие века литературы этих народов опирались на [общетюркский духовно-религиозный и культурно-мифологический фундамент|T17|TERM], в период с [XI по XIX века|T18|VALUE] развивались в контексте [восточной классической литературы|T19|TERM].[Литературы тюркоязычных народов|T20|TERM] бывшего СССР в период формирования эстетики [соцреализма|T21|TERM] скорее напоминали [эпигонскую литературу|T22|TERM]. Тем не менее, [система образов|T23|TERM], [фабульные конфигурации произведений|T24|TERM], композиционные и [архитектонические формы|T26|TERM] существенно разнились от [русской советской литературы|T27|TERM]. Авторы опирались на [традиции устного народного творчества|T28|TERM] и [классической восточной литературы|T29|TERM].","T1 TERM эстетики социалистического реализма
T2 TERM литературах тюркоязычных народов
T3 TERM Социалистический реализм
T4 VALUE ХХ века
T5 TERM русской литературе
T6 TERM досоветскую эпоху
T7 TERM пролетарской литературе
T8 TERM огосударствления литературы
T9 VALUE 1932 году
T10 TERM социалистическим реализмом
T11 TERM соцреализма
T12 TERM русской литературе
T13 TERM советского государства
T14 TERM литературах тюркоязычных народов
T15 TERM соцреализм
T16 TERM огосударствления литературы
T17 TERM общетюркский духовно-религиозный и культурно-мифологический фундамент
T18 VALUE XI по XIX века
T19 TERM восточной классической литературы
T20 TERM Литературы тюркоязычных народов
T21 TERM соцреализма
T22 TERM эпигонскую литературу
T23 TERM система образов
T24 TERM фабульные конфигурации произведений
T26 TERM архитектонические формы
T27 TERM русской советской литературы
T28 TERM традиции устного народного творчества
T29 TERM классической восточной литературы
","R2 HAS_VALUE Arg1:T3 Arg2:T4
R3 SUBCLASS_OF Arg1:T3 Arg2:T5
R4 SUBCLASS_OF Arg1:T7 Arg2:T5
R5 HAS_VALUE Arg1:T3 Arg2:T9
R6 SUBCLASS_OF Arg1:T11 Arg2:T5
R8 HAS_USE Arg1:T11 Arg2:T8
R10 HAS_VALUE Arg1:T17 Arg2:T18
R11 HAS_PART Arg1:T19 Arg2:T17
R13 HAS_PART Arg1:T27 Arg2:T23
R14 HAS_PART Arg1:T27 Arg2:T24
R16 HAS_PART Arg1:T27 Arg2:T26

"
ling-12227-3-ru.txt,"Сегодня, в эпоху культурной глобализации, меняются «маскулинные» качества, присущие мужчинам и стереотипы маскулинности. Заметно, как меняются социальные роли мужчин и женщин. Мужчина должен быть активным в обществе, в семье. Стереотип о том, что мужчина – кормилец семьи, женщина–костяк семьи, сегодня претерпел изменения. Цель работы - анализ стереотипов маскулинности в современной казахской культуре. Что касается научно-практической значимости исследовательской работы, то статья будет необходима для теоретического дополнения работ, написанных в области гендерологии, лингвокультурологии, социолингвистики, когнитивной лингвистики и создания лекций спецкурсов «Лингвокультурология», «Гендерная лингвистика», «Маскулинные исследования», написания курсовых и дипломных работ. С целью анализа маскулинных стереотипов в книге Ж. Кейкина «7777 казахских пословиц и поговорок» были собраны пословицы и поговорки, выражающие маскулинные качества. В ходе исследования были использованы комплексные исследования, контекстный анализ, сравнение и описательные методы. Быть мужчиной или женщиной в любом обществе - это не просто иметь анатомические особенности, это определенные гендерные роли, которые ожидаются от людей. Согласно стереотипам маскулинности, мужчины в казахской культуре являются основными кормильцами семьи, добиваются успеха через трудолюбие, принимают основные решения в обществе, семье и защищают честь своего народа. Стереотип мужчины-лидера, властителя может выйти из рядов гендерных стереотипов. Ценность и практическая значимость работы: согласно стереотипам маскулинности, общество ожидает от мужчины определенного набора действий и качеств. Мальчик воспитывается с рождения по таким стереотипам. Мужчины развиваются в рамках таких предрассудков, придерживаясь их в жизни. В некоторых случаях стереотипы маскулинности негативно влияют на жизнь мужчины. Если действие или поведение мужчин не соответствует стереотипам, они оцениваются как «не настоящий мужчина». Поэтому в воспитании мальчиков необходимо объяснять ребенку, какие из установок и стереотипов, которые высказываются в обществе по отношению к мужчинам, являются правильными или неправильными, неуместными.","Сегодня, в эпоху культурной глобализации, меняются «маскулинные» качества, присущие мужчинам и стереотипы маскулинности. Заметно, как меняются социальные роли мужчин и женщин. Мужчина должен быть активным в обществе, в семье. Стереотип о том, что мужчина – кормилец семьи, женщина–костяк семьи, сегодня претерпел изменения. Цель работы - анализ [стереотипов маскулинности|T1|TERM] в [современной казахской культуре|T2|TERM]. Что касается научно-практической значимости исследовательской работы, то статья будет необходима для теоретического дополнения работ, написанных в области [гендерологии|T3|TERM], [лингвокультурологии|T4|TERM], [социолингвистики|T5|TERM], [когнитивной лингвистики|T6|TERM] и создания лекций спецкурсов «[Лингвокультурология|T7|TERM]», «[Гендерная лингвистика|T8|TERM]», «[Маскулинные исследования|T9|TERM]», написания курсовых и дипломных работ. С целью анализа [маскулинных стереотипов|T10|TERM] в книге Ж. Кейкина «7777 казахских пословиц и поговорок» были собраны [пословицы и поговорки|T11|TERM], выражающие маскулинные качества. В ходе исследования были использованы комплексные исследования, [контекстный анализ|T12|TERM], [сравнение|T13|TERM] и [описательные методы|T14|TERM]. Быть мужчиной или женщиной в любом обществе - это не просто иметь анатомические особенности, это определенные гендерные роли, которые ожидаются от людей. Согласно [стереотипам маскулинности|T15|TERM], мужчины в казахской культуре являются основными кормильцами семьи, добиваются успеха через трудолюбие, принимают основные решения в обществе, семье и защищают честь своего народа. Стереотип мужчины-лидера, властителя может выйти из рядов [гендерных стереотипов|T16|TERM]. Ценность и практическая значимость работы: согласно [стереотипам маскулинности|T17|TERM], общество ожидает от мужчины определенного набора действий и качеств. Мальчик воспитывается с рождения по таким стереотипам. Мужчины развиваются в рамках таких предрассудков, придерживаясь их в жизни. В некоторых случаях [стереотипы маскулинности|T18|TERM] негативно влияют на жизнь мужчины. Если действие или поведение мужчин не соответствует стереотипам, они оцениваются как «не настоящий мужчина». Поэтому в воспитании мальчиков необходимо объяснять ребенку, какие из установок и стереотипов, которые высказываются в обществе по отношению к мужчинам, являются правильными или неправильными, неуместными.","T1 TERM стереотипов маскулинности
T2 TERM современной казахской культуре
T3 TERM гендерологии
T4 TERM лингвокультурологии
T5 TERM социолингвистики
T6 TERM когнитивной лингвистики
T7 TERM Лингвокультурология
T8 TERM Гендерная лингвистика
T9 TERM Маскулинные исследования
T10 TERM маскулинных стереотипов
T11 TERM пословицы
T19 TERM поговорки
T12 TERM контекстный анализ
T13 TERM сравнение
T14 TERM описательные методы
T15 TERM стереотипам маскулинности
T16 TERM гендерных стереотипов
T17 TERM стереотипам маскулинности
T18 TERM стереотипы маскулинности
","R1 HAS_PART Arg1:T2 Arg2:T1
R2 HAS_USE Arg1:T3 Arg2:T6
R3 HAS_USE Arg1:T4 Arg2:T6
R4 HAS_USE Arg1:T5 Arg2:T6
R7 SUBCLASS_OF Arg1:T9 Arg2:T3
"
ling-12228-3-ru.txt,"Основная цель данной статьи проанализировать и оценить эффективность применения стратегии вежливости в британских электронных пресс-релизах. Анализ электронных пресс-релизов в сфере бизнеса всегда привлекателен для лингвистов, поскольку в этом жанре текста наблюдаема. Данные для исследования были собраны с официального сайта очень известной и старой британской компании Unilever и проанализированы с помощью автомотизированных программ анализа данных, что придает исследованию новизну и актуальность. Применение компьютерных программ привело к получению точных результатов. Это исследование направлено на применение теорий стратегии вежливости Брауна и Левинсона для отслеживания определенной прагматики в электронных пресс-релизах. Результаты показывают, что электронные пресс-релизы широко используют стратегии позитивной вежливости, потому что электронные пресс-релизы создаются с учетом культурных особенностей целевой аудитории. Врезультате исслодования можно твердо утвердить что этот инструмент эффективно работает для создания положительного имиджа компании. Таким образом, данное исследование привлекателен своим междисциплинарным подходом и результаты этой научной работы могут приминятся не только в прагмалингвистике, но и в сфере маркетинга и бизнеса в целом.","Основная цель данной статьи проанализировать и оценить эффективность применения [стратегии вежливости|T1|TERM] в [британских электронных пресс-релизах|T2|TERM]. Анализ [электронных пресс-релизов|T3|TERM] в сфере бизнеса всегда привлекателен для [лингвистов|T4|TERM], поскольку в этом [жанре текста|T5|TERM] наблюдаема. Данные для исследования были собраны с официального сайта очень известной и старой [британской компании Unilever|T6|TERM] и проанализированы с помощью автомотизированных программ анализа данных, что придает исследованию новизну и актуальность. Применение компьютерных программ привело к получению точных результатов. Это исследование направлено на применение [теорий стратегии вежливости|T7|TERM] Брауна и Левинсона для отслеживания определенной [прагматики|T8|TERM] в [электронных пресс-релизах|T9|TERM]. Результаты показывают, что [электронные пресс-релизы|T10|TERM] широко используют [стратегии позитивной вежливости|T11|TERM], потому что [электронные пресс-релизы|T12|TERM] создаются с учетом культурных особенностей целевой аудитории. Врезультате исслодования можно твердо утвердить что этот инструмент эффективно работает для создания положительного имиджа компании. Таким образом, данное исследование привлекателен своим [междисциплинарным подходом|T13|TERM] и результаты этой научной работы могут приминятся не только в [прагмалингвистике|T14|TERM], но и в сфере маркетинга и бизнеса в целом.","T1 TERM стратегии вежливости
T2 TERM британских электронных пресс-релизах
T3 TERM электронных пресс-релизов
T4 TERM лингвистов
T5 TERM жанре текста
T6 TERM британской компании Unilever
T7 TERM теорий стратегии вежливости
T8 TERM прагматики
T9 TERM электронных пресс-релизах
T10 TERM электронные пресс-релизы
T11 TERM стратегии позитивной вежливости
T12 TERM электронные пресс-релизы
T13 TERM междисциплинарным подходом
T14 TERM прагмалингвистике
","R1 HAS_USE Arg1:T1 Arg2:T2
R2 SUBCLASS_OF Arg1:T3 Arg2:T5
R4 HAS_USE Arg1:T7 Arg2:T9
R6 HAS_PART Arg1:T8 Arg2:T14
"
ling-12229-3-ru.txt,"Глобальный кризис в области здравоохранения, известный как COVID-19, неизбежно вошел в современную жизнь человечества. Ежедневно в СМИ сообщали об этой катастрофе. Негативное влияние коронавируса на человечество, культуру и экономику было огромным. Пандемия короновируса влияла и на повседневный образ жизни, психологию языковых личностей и менталитет, как на индивидуальном, так и на коллективном уровне. Цель статьи: выяснить, с помощью каких языковых средств в медиа-дискурсе, «Пандемия Сovid 19» была реализована в медиапространстве. Теоретическое значение исследования заключается в том, что результаты исследования будут способствовать выявлению форм короновирусной лексики, сложившейся в казахском медиа мире, и дальнейшему изучению природы Ковид-дискурса в лингвокультурах с различными исследовательскими результатами. Практические результаты исследовательской работы могут быть использованы при изучении таких дисциплин, как «Медиадискурс», «Медицинский медиа дискурс», «Ковид – дискурс» для студентов и магистрантов, обучающихся по специальности «Иностранная филология», а также при составлении словарей и глоссарий, посвященных лексическому составу термина «Covid». Методологическую основу научной статьи составляют медиа-дискурс и дискурс «Пандемия Covid-19». В качестве основных результатов исследования представлено определение дискурса «Пандемия Covid-19», определен его экстралингвистический потенциал и конституциональные признаки рассматриваемого дискурса. Научная статья, также в перспективном плане, будет способствовать дальнейшему изучению языкового потенциала дискурса «Пандемия Covid-19», как новое лингвистическое явление.","Глобальный кризис в области здравоохранения, известный как COVID-19, неизбежно вошел в современную жизнь человечества. Ежедневно в [СМИ|T1|TERM] сообщали об этой катастрофе. Негативное влияние коронавируса на человечество, культуру и экономику было огромным. Пандемия короновируса влияла и на повседневный образ жизни, [психологию языковых личностей и менталитет|T2|TERM], как на индивидуальном, так и на коллективном уровне. Цель статьи: выяснить, с помощью каких [языковых средств|T3|TERM] в [медиа-дискурсе|T4|TERM], «Пандемия Сovid 19» была реализована в [медиапространстве|T5|TERM]. Теоретическое значение исследования заключается в том, что результаты исследования будут способствовать выявлению форм [короновирусной лексики|T6|TERM], сложившейся в [казахском медиа мире|T7|TERM], и дальнейшему изучению природы [Ковид-дискурса|T8|TERM] в [лингвокультурах|T9|TERM] с различными исследовательскими результатами. Практические результаты исследовательской работы могут быть использованы при изучении таких дисциплин, как «[Медиадискурс|T10|TERM]», «[Медицинский медиа дискурс|T11|TERM]», «[Ковид – дискурс|T12|TERM]» для студентов и магистрантов, обучающихся по специальности «[Иностранная филология|T13|TERM]», а также при составлении [словарей|T14|TERM] и [глоссарий|T15|TERM], посвященных [лексическому составу|T16|TERM] [термина «Covid»|T17|TERM]. Методологическую основу научной статьи составляют [медиа-дискурс|T18|TERM] и [дискурс «Пандемия Covid-19»|T19|TERM]. В качестве основных результатов исследования представлено определение [дискурса «Пандемия Covid-19»|T20|TERM], определен его [экстралингвистический потенциал|T21|TERM] и [конституциональные признаки|T22|TERM] рассматриваемого дискурса. Научная статья, также в перспективном плане, будет способствовать дальнейшему изучению [языкового потенциала|T23|TERM] [дискурса «Пандемия Covid-19»|T24|TERM], как новое [лингвистическое явление|T25|TERM].","T1 TERM СМИ
T2 TERM психологию языковых личностей и менталитет
T3 TERM языковых средств
T4 TERM медиа-дискурсе
T5 TERM медиапространстве
T6 TERM короновирусной лексики
T7 TERM казахском медиа мире
T8 TERM Ковид-дискурса
T9 TERM лингвокультурах
T10 TERM Медиадискурс
T11 TERM Медицинский медиа дискурс
T12 TERM Ковид – дискурс
T13 TERM Иностранная филология
T14 TERM словарей
T15 TERM глоссарий
T16 TERM лексическому составу
T17 TERM термина «Covid»
T18 TERM медиа-дискурс
T19 TERM дискурс «Пандемия Covid-19»
T20 TERM дискурса «Пандемия Covid-19»
T21 TERM экстралингвистический потенциал
T22 TERM конституциональные признаки
T23 TERM языкового потенциала
T24 TERM дискурса «Пандемия Covid-19»
T25 TERM лингвистическое явление
","R1 HAS_USE Arg1:T3 Arg2:T4
R3 HAS_USE Arg1:T4 Arg2:T5
R4 HAS_USE Arg1:T6 Arg2:T8
R7 SUBCLASS_OF Arg1:T11 Arg2:T10
R8 HAS_CHARACTERISTIC Arg1:T17 Arg2:T16
R9 SUBCLASS_OF Arg1:T14 Arg2:T15
R10 HAS_CHARACTERISTIC Arg1:T19 Arg2:T21
R11 HAS_CHARACTERISTIC Arg1:T19 Arg2:T22
R12 HAS_CHARACTERISTIC Arg1:T19 Arg2:T23
R13 SUBCLASS_OF Arg1:T24 Arg2:T25
"
ling-12230-3-ru.txt,"В развитии социально-экономических сфер страны велика роль языка. Знание языка-основной компонент человеческого капитала. Это потому, что язык или языки могут оказать существенное влияние на экономическое, социальное развитие человека. Кроме того, это влияет на экономические решения. Так, по результатам исследования, проведенного в семи развитых странах, выяснилось, что знание родного и иностранного языка не только увеличивает прибыль, но и снижает риск безработицы. Цель проведенного в статье исследования-выявить современное состояние экономического сознания казахской нации и потенциал государственного языка в повышении национальной экономической культуры.В предыдущих изысканиях отсутствуют научные труды, определяющие, какие изменения, какие трансформации произошли в лексикографировании лексических единиц, характерных для экономического дискурса. Проблема казахского языка в экономическом дискурсе в настоящее время становится очень актуальной. Причина в том, что экономическое сознание как внутренняя часть общественного сознания, без развития национального языка, подвержено большим препятствиям как процессам развития общегосударственного языка, так и процессам экономического прогресса общества. Такие социолингвистические и лингвоэкономические исследования необходимы в реализации языковой политики, разработке программ развития языков.В статье сделано попытка выявления потенциала государственного языка и расширения сферы государственного языка в потенциальной бизнес среде, наглядно показано лингвостатистика терминов, слов, понятий, наименований с экономической семантикой, также было проведено социолингвистическое исследование с целью, предоставления конкретных путей решения их языковых проблем, в целях научного рассмотрения вопросов, попавших в общественное обсуждение в рамках СМИ о роли языка и экономики, особенно казахского языка в бизнесе. В ходе исследования были получены полуструктурированные интервью с казахскоязычными владельцами малого бизнеса и массовый онлайн-опрос казахскоязычных потребителей. Потенциальными потребителями исследования являются комитет языковой политики МОН РК, НПП РК» Атамекен», лингвисты, социолингвисты, лингвоэкономисты, магистранты и докторанты, а также политики и журналисты.","В развитии социально-экономических сфер страны велика роль [языка|T1|TERM]. Знание [языка|T2|TERM]-основной компонент человеческого капитала. Это потому, что [язык|T3|TERM] или [языки|T4|TERM] могут оказать существенное влияние на экономическое, социальное развитие человека. Кроме того, это влияет на экономические решения. Так, по результатам исследования, проведенного в семи развитых странах, выяснилось, что знание [родного и иностранного языка|T5|TERM] не только увеличивает прибыль, но и снижает риск безработицы. Цель проведенного в статье исследования-выявить современное состояние экономического сознания [казахской нации|T6|TERM] и потенциал [государственного языка|T7|TERM] в повышении национальной экономической культуры.В предыдущих изысканиях отсутствуют научные труды, определяющие, какие изменения, какие трансформации произошли в [лексикографировании|T8|TERM] [лексических единиц|T9|TERM], характерных для [экономического дискурса|T10|TERM]. Проблема [казахского языка|T11|TERM] в [экономическом дискурсе|T12|TERM] в настоящее время становится очень актуальной. Причина в том, что экономическое сознание как внутренняя часть общественного сознания, без развития [национального языка|T13|TERM], подвержено большим препятствиям как процессам развития [общегосударственного языка|T14|TERM], так и процессам экономического прогресса общества. Такие [социолингвистические и лингвоэкономические исследования|T15|TERM] необходимы в реализации [языковой политики|T16|TERM], разработке [программ развития языков|T17|TERM].В статье сделано попытка выявления потенциала [государственного языка|T18|TERM] и расширения сферы [государственного языка|T19|TERM] в потенциальной бизнес среде, наглядно показано [лингвостатистика|T20|TERM] терминов, слов, понятий, наименований с [экономической семантикой|T21|TERM], также было проведено [социолингвистическое исследование|T22|TERM] с целью, предоставления конкретных путей решения их [языковых проблем|T23|TERM], в целях научного рассмотрения вопросов, попавших в общественное обсуждение в рамках [СМИ|T24|TERM] о [роли языка|T25|TERM] и экономики, особенно [казахского языка|T26|TERM] в бизнесе. В ходе исследования были получены [полуструктурированные интервью|T27|TERM] с казахскоязычными владельцами малого бизнеса и массовый [онлайн-опрос|T28|TERM] казахскоязычных потребителей. Потенциальными потребителями исследования являются комитет языковой политики МОН РК, НПП РК» Атамекен», лингвисты, социолингвисты, лингвоэкономисты, магистранты и докторанты, а также политики и журналисты.","T1 TERM языка
T2 TERM языка
T3 TERM язык
T4 TERM языки
T5 TERM родного и иностранного языка
T6 TERM казахской нации
T7 TERM государственного языка
T8 TERM лексикографировании
T9 TERM лексических единиц
T10 TERM экономического дискурса
T11 TERM казахского языка
T12 TERM экономическом дискурсе
T13 TERM национального языка
T14 TERM общегосударственного языка
T15 TERM социолингвистические и лингвоэкономические исследования
T16 TERM языковой политики
T17 TERM программ развития языков
T18 TERM государственного языка
T19 TERM государственного языка
T20 TERM лингвостатистика
T21 TERM экономической семантикой
T22 TERM социолингвистическое исследование
T23 TERM языковых проблем
T24 TERM СМИ
T25 TERM роли языка
T26 TERM казахского языка
T27 TERM полуструктурированные интервью
T28 TERM онлайн-опрос
","R1 HAS_CHARACTERISTIC Arg1:T6 Arg2:T7
R3 HAS_CHARACTERISTIC Arg1:T9 Arg2:T10
R4 HAS_PART Arg1:T11 Arg2:T10
R5 SUBCLASS_OF Arg1:T13 Arg2:T14
R2 HAS_USE Arg1:T15 Arg2:T16
R6 HAS_USE Arg1:T15 Arg2:T17
R7 HAS_CHARACTERISTIC Arg1:T20 Arg2:T21

"
ling-12231-3-ru.txt,"Изучение убеждений учителей входит в более широкую область исследований когнитивного измерения учителей. Когнитивное измерение учителей – это концепция, которая охватывает все аспекты скрытых ментальных процессов, лежащих в основе педагогических решений учителей, ненаблюдаемое когнитивное измерение преподавания – то, что учителя знают, во что верят и о чем думают. Изучение убеждений учителей оказалось серьезной проблемой для исследователей не только из-за различных концептуализации, но и из-за методов, которые были использованы для изучения и понимания этого феномена. Изучение систем убеждений учителей в области преподавания языка вызвало большой интерес у исследователей в последние 30 лет. Важно изучать убеждения учителей, поскольку считается, что они играют ключевую роль по отношению к реальной практике учителей в классах. Однако обзор литературы, по-видимому, позволяет предположить, что исследовательские методы, используемые учеными для изучения убеждений учителей, определяют наше понимание обсуждаемой темы. В данной статье критически оцениваются некоторые из этих исследовательских методов, обсуждается ценность интервью для исследования когнитивных измерений учителей и предлагаются конкретные типы интервью, которые могут быть полезны при исследовании убеждений учителей относительно преподавание устной речи. В статье утверждается, что когнитивные миры учителей нужно исследовать с помощью интервью как неотъемлемую часть их практики. Это соответствует предложением в данной области обозначить профессиональную практику учителей в качестве отправной точки для исследования их систем убеждений. Результаты исследования имеют значение для исследователей в области изучения когнитивного измерения педагогов.","Изучение [убеждений|T1|TERM] учителей входит в более широкую область исследований [когнитивного измерения|T2|TERM] учителей. [Когнитивное измерение|T3|TERM] учителей – это концепция, которая охватывает все аспекты скрытых [ментальных процессов|T4|TERM], лежащих в основе [педагогических решений|T5|TERM] учителей, ненаблюдаемое [когнитивное измерение|T6|TERM] преподавания – то, что учителя знают, во что верят и о чем думают. Изучение [убеждений|T7|TERM] учителей оказалось серьезной проблемой для исследователей не только из-за различных концептуализации, но и из-за методов, которые были использованы для изучения и понимания этого феномена. Изучение [систем убеждений|T8|TERM] учителей в области [преподавания языка|T9|TERM] вызвало большой интерес у исследователей в последние 30 лет. Важно изучать [убеждения|T10|TERM] учителей, поскольку считается, что они играют ключевую роль по отношению к реальной практике учителей в классах. Однако обзор литературы, по-видимому, позволяет предположить, что исследовательские методы, используемые учеными для изучения [убеждений|T11|TERM] учителей, определяют наше понимание обсуждаемой темы. В данной статье критически оцениваются некоторые из этих исследовательских методов, обсуждается ценность [интервью|T12|TERM] для исследования [когнитивных измерений|T13|TERM] учителей и предлагаются конкретные типы [интервью|T14|TERM], которые могут быть полезны при исследовании [убеждений|T15|TERM] учителей относительно [преподавание устной речи|T16|TERM]. В статье утверждается, что [когнитивные миры|T17|TERM] учителей нужно исследовать с помощью [интервью|T18|TERM] как неотъемлемую часть их практики. Это соответствует предложением в данной области обозначить [профессиональную практику|T19|TERM] учителей в качестве отправной точки для исследования их [систем убеждений|T20|TERM]. Результаты исследования имеют значение для исследователей в области изучения [когнитивного измерения|T21|TERM] педагогов.","T1 TERM убеждений
T2 TERM когнитивного измерения
T3 TERM Когнитивное измерение
T4 TERM ментальных процессов
T5 TERM педагогических решений
T6 TERM когнитивное измерение
T7 TERM убеждений
T8 TERM систем убеждений
T9 TERM преподавания языка
T10 TERM убеждения
T11 TERM убеждений
T12 TERM интервью
T13 TERM когнитивных измерений
T14 TERM интервью
T15 TERM убеждений
T16 TERM преподавание устной речи
T17 TERM когнитивные миры
T18 TERM интервью
T19 TERM профессиональную практику
T20 TERM систем убеждений
T21 TERM когнитивного измерения
","R1 HAS_PART Arg1:T2 Arg2:T1
R2 HAS_PART Arg1:T2 Arg2:T4
R3 HAS_PART Arg1:T2 Arg2:T5
R5 HAS_USE Arg1:T12 Arg2:T2
R9 HAS_PART Arg1:T19 Arg2:T8
"
