filename,abstract,annotation,entities,relations
psy-3405-3-ru.txt,"В статье подчеркивается, что образование детей с особыми потребностями в области специального образования, в том числе детей с аутизмом, сегодня становится все более важной проблемой. Учителя играют важную роль в воспитании аутичных детей. В исследовании речь идет о проблемах, с которыми сталкиваются учителя специального образования, работающие с аутичными детьми, при работе с этими детьми. Цель исследования: выявление мнений и рекомендаций педагогов специального образования, работающих с аутичными детьми в инклюзивном образовательном пространстве; (а) об особенностях аутичных детей, (б) о проблемах, с которыми они сталкиваются при работе с аутичными детьми и (в) их работе по решению проблем. Для изучения этого качества были проведены переговоры с 16 добровольно участвующими преподавателями, работающими в специальных классах школы №39 им. М. Жумабаева. Для переговоров была подготовлена предварительная форма интервью. Интервью проводилось со всеми учителями отдельно в тот же день, время и место. Затем было проведено интервью, проведен описательный анализ и результаты представлены в количественном выражении. Результаты исследования показали, что ни один из участвующих в исследовании учителей во время обучения в бакалавриате не проходил специальное обучение аутичных детей, некоторые из них лишь посещали обучающие семинары, тренинги для работы с аутичными детьми. Кроме того, было установлено, что педагоги имеют разные взгляды на поведенческие характеристики детей-аутистов. Учителя высказывали различные мнения о правилах, выполняемых в классе для аутичных детей, методах обучения, которые они используют во время урока, эффективности методов и их работе над навыками, которым они обучают таких детей для их адаптации в повседневной жизни. Исследование также показало, что мнения педагогов о характеристиках детей с аутизмом отличались друг от друга.","В статье подчеркивается, что образование детей с особыми потребностями в области [специального образования|T1|TERM], в том числе детей с [аутизмом|T2|TERM], сегодня становится все более важной проблемой. Учителя играют важную роль в воспитании [аутичных детей|T3|TERM]. В исследовании речь идет о проблемах, с которыми сталкиваются учителя [специального образования|T4|TERM], работающие с [аутичными детьми|T5|TERM], при работе с этими детьми. Цель исследования: [выявление мнений|T6|TERM] и [рекомендаций педагогов|T7|TERM] [специального образования|T8|TERM], работающих с [аутичными детьми|T9|TERM] в [инклюзивном образовательном пространстве|T10|TERM]; (а) об особенностях [аутичных детей|T11|TERM], (б) о проблемах, с которыми они сталкиваются при работе с [аутичными детьми|T12|TERM] и (в) их работе по решению проблем. Для изучения этого качества были проведены [переговоры|T13|TERM] с [16 добровольно участвующими преподавателями|T14|VALUE], работающими в [специальных классах школы|T15|TERM] №39 им. М. Жумабаева. Для переговоров была подготовлена предварительная форма [интервью|T16|TERM]. [Интервью|T17|TERM] проводилось со всеми учителями отдельно в тот же день, время и место. Затем было проведено [интервью|T18|TERM], проведен [описательный анализ|T19|TERM] и результаты представлены в [количественном выражении|T20|TERM]. Результаты исследования показали, что ни один из участвующих в исследовании учителей во время обучения в бакалавриате не проходил [специальное обучение|T21|TERM] [аутичных детей|T22|TERM], некоторые из них лишь посещали [обучающие семинары|T23|TERM], [тренинги|T24|TERM] для работы с [аутичными детьми|T25|TERM]. Кроме того, было установлено, что педагоги имеют разные взгляды на [поведенческие характеристики|T26|TERM] [детей-аутистов|T27|TERM]. Учителя высказывали различные мнения о правилах, выполняемых в классе для [аутичных детей|T28|TERM], [методах обучения|T29|TERM], которые они используют во время урока, [эффективности методов|T30|TERM] и их работе над [навыками|T31|TERM], которым они обучают таких детей для их [адаптации|T32|TERM] в повседневной жизни. Исследование также показало, что мнения педагогов о характеристиках детей с [аутизмом|T33|TERM] отличались друг от друга.","T1 TERM специального образования
T2 TERM аутизмом
T3 TERM аутичных детей
T4 TERM специального образования
T5 TERM аутичными детьми
T6 TERM выявление мнений
T7 TERM рекомендаций педагогов
T8 TERM специального образования
T9 TERM аутичными детьми
T10 TERM инклюзивном образовательном пространстве
T11 TERM аутичных детей
T12 TERM аутичными детьми
T13 TERM переговоры
T14 VALUE 16 добровольно участвующими преподавателями
T15 TERM специальных классах школы
T16 TERM интервью
T17 TERM Интервью
T18 TERM интервью
T19 TERM описательный анализ
T20 TERM количественном выражении
T21 TERM специальное обучение
T22 TERM аутичных детей
T23 TERM обучающие семинары
T24 TERM тренинги
T25 TERM аутичными детьми
T26 TERM поведенческие характеристики
T27 TERM детей-аутистов
T28 TERM аутичных детей
T29 TERM методах обучения
T30 TERM эффективности методов
T31 TERM навыками
T32 TERM адаптации
T33 TERM аутизмом
","R1 HAS_CHARACTERISTIC Arg1:T1 Arg2:T3
R5 HAS_VALUE Arg1:T13 Arg2:T14
R7 HAS_CHARACTERISTIC Arg1:T27 Arg2:T26
R9 HAS_USE Arg1:T23 Arg2:T3
R10 HAS_USE Arg1:T29 Arg2:T3
R13 HAS_USE Arg1:T29 Arg2:T32
"
psy-3411-3-ru.txt,"Современный этап развития науки характеризуется развитием исследовательского интереса к проблеме формирования самопонимания, определяемого как важное личностное образование, помогающее включиться в общественные отношения и найти свое место в системе этих отношений. В данной статье представлены результаты исследования культурной и семейной социализации. Целью исследования явилось изучение временного аспекта и аспекта культурно – семейной социализации, которые важны для раскрытия процесса самопонимания. Исследование проводилось среди представителей старшего поколения, чье формирование и социализация происходили в советский период и которые длительное время проживали в Кыргызской Республике, входящей тогда еще в состав СССР. Вторую выборку участвующих в опросе составили представители молодого поколения, которые родились уже после распада Советского Союза и получения Кыргызстаном независимости. Такое включение разных возрастных групп с разным опытом жизни позволило исследовать влияние самопонимания как на культурную, так и на семейную социализацию кыргызов. Исследование проводилось в городах Бишкек, Нарын, селах Кыргызстана в январе-июле 2019 года. Всего в исследовании приняли участие 315 представителей титульного этноса от 17 до 81 года. Анализ и систематизация результатов полученного исследования позволили создать структурную модель самопонимания личностной и социальной идентичности титульного этноса Кыргызстана.","Современный этап развития науки характеризуется развитием исследовательского интереса к проблеме [формирования самопонимания|T1|TERM], определяемого как важное [личностное образование|T2|TERM], помогающее включиться в [общественные отношения|T3|TERM] и найти свое место в системе этих отношений. В данной статье представлены результаты исследования культурной и [семейной социализации|T4|TERM]. Целью исследования явилось изучение [временного аспекта|T5|TERM] и аспекта [культурно – семейной социализации|T6|TERM], которые важны для раскрытия [процесса самопонимания|T7|TERM]. Исследование проводилось среди представителей старшего поколения, чье формирование и социализация происходили в советский период и которые длительное время проживали в Кыргызской Республике, входящей тогда еще в состав СССР. Вторую выборку участвующих в [опросе|T8|TERM] составили представители молодого поколения, которые родились уже после распада Советского Союза и получения Кыргызстаном независимости. Такое включение [разных возрастных групп|T9|TERM] с разным опытом жизни позволило исследовать влияние [самопонимания|T10|TERM] как на культурную, так и на [семейную социализацию|T11|TERM] кыргызов. Исследование проводилось в городах Бишкек, Нарын, селах Кыргызстана в [январе-июле 2019 года|T12|VALUE]. Всего в исследовании приняли участие [315 представителей титульного этноса|T13|VALUE] от [17 до 81 года|T14|VALUE]. Анализ и систематизация результатов полученного исследования позволили создать [структурную модель самопонимания|T15|TERM] [личностной и социальной идентичности|T16|TERM] титульного этноса Кыргызстана.","T1 TERM формирования самопонимания
T2 TERM личностное образование
T3 TERM общественные отношения
T4 TERM семейной социализации
T5 TERM временного аспекта
T6 TERM культурно – семейной социализации
T7 TERM процесса самопонимания
T8 TERM опросе
T9 TERM разных возрастных групп
T10 TERM самопонимания
T11 TERM семейную социализацию
T12 VALUE январе-июле 2019 года
T13 VALUE 315 представителей титульного этноса
T14 VALUE 17 до 81 года
T15 TERM структурную модель самопонимания
T16 TERM личностной и социальной идентичности
","R1 SUBCLASS_OF Arg1:T1 Arg2:T2
R2 HAS_USE Arg1:T1 Arg2:T3
R3 HAS_USE Arg1:T5 Arg2:T7
R4 HAS_USE Arg1:T6 Arg2:T7
R5 HAS_USE Arg1:T10 Arg2:T4
R7 HAS_VALUE Arg1:T13 Arg2:T14
R8 HAS_PART Arg1:T16 Arg2:T15
"
psy-3413-1-ru.txt,"Актуальность проблемы изучения взаимосвязи религиозной идентичности личности и толерантности в межличностных отношениях молодых казахстанцев, обусловленная ростом напряженности в межличностной сфере на почве межнациональных и религиозных конфликтов. Цель исследования: выявление и обоснование взаимосвязи религиозной идентичности личности и толерантности в межличностных отношениях молодых казахстанцев. В статье проанализирована структура религиозной идентичности молодых казахстанцев, описаны особенности видов и компонентов толерантности и их взаимосвязи. Особенности развития религиозной идентичности и толерантности у казахстанской молодежи рассмотрены сквозь призму гармоничности/дисгармоничности отношений. В исследовании использовалась новый опросник изучения религиозной идентичности «Измерение индивидуальных и социальных компонентов религиозной идентичности» Д. Ван Камп, адаптация В.А.Шороховой. В исследовании показано, что религиозная идентичность молодых казахстанцев развивается гетерохронно, имеет социальную направленность. Для молодых казахстанцев характерен высокий уровень толерантности. Как черта толерантность имеет личностную направленность. Индекс дисгармоничности отношений показал, что для молодых казахстанцев характерны достаточно гармоничные в отношения. Результаты корреляционного анализа показали, что для развития толерантности и религиозной идентичности важным для молодых казахстанцев выступает их идентификация с референтной группой. Наблюдается единство взаимовлияния личных и социальных факторов, с некоторым преимуществом влияния личных факторов. Полученные результаты исследования могут быть использованы практическими психологами для проведения дальнейшей работы с представителями различных религиозных конфессий, для формирования комфортной этнокультурной среды, способствуя сохранению и развитию этнокультурного и религиозного многообразия народов РК.","Актуальность проблемы изучения взаимосвязи [религиозной идентичности|T1|TERM] личности и [толерантности|T2|TERM] в [межличностных отношениях|T3|TERM] [молодых казахстанцев|T4|TERM], обусловленная ростом напряженности в [межличностной сфере|T5|TERM] на почве межнациональных и [религиозных конфликтов|T6|TERM]. Цель исследования: выявление и обоснование взаимосвязи [религиозной идентичности|T7|TERM] личности и [толерантности|T8|TERM] в [межличностных отношениях|T9|TERM] [молодых казахстанцев|T10|TERM]. В статье проанализирована структура [религиозной идентичности|T11|TERM] [молодых казахстанцев|T12|TERM], описаны особенности видов и компонентов [толерантности|T13|TERM] и их взаимосвязи. Особенности развития [религиозной идентичности|T14|TERM] и [толерантности|T15|TERM] у [казахстанской молодежи|T16|TERM] рассмотрены сквозь призму [гармоничности|T17|TERM]/[дисгармоничности|T18|TERM] отношений. В исследовании использовалась новый [опросник|T19|TERM] изучения [религиозной идентичности|T20|TERM] «[Измерение индивидуальных и социальных компонентов религиозной идентичности|T21|TERM]» Д. Ван Камп, адаптация В.А.Шороховой. В исследовании показано, что [религиозная идентичность|T22|TERM] [молодых казахстанцев|T23|TERM] развивается гетерохронно, имеет [социальную направленность|T24|TERM]. Для [молодых казахстанцев|T25|TERM] характерен высокий уровень [толерантности|T26|TERM]. Как черта [толерантность|T27|TERM] имеет [личностную направленность|T28|TERM]. [Индекс дисгармоничности|T29|TERM] отношений показал, что для [молодых казахстанцев|T30|TERM] характерны достаточно гармоничные в отношения. Результаты [корреляционного анализа|T31|TERM] показали, что для развития [толерантности|T32|TERM] и [религиозной идентичности|T33|TERM] важным для [молодых казахстанцев|T34|TERM] выступает их идентификация с референтной группой. Наблюдается единство взаимовлияния личных и [социальных факторов|T35|TERM], с некоторым преимуществом влияния [личных факторов|T36|TERM]. Полученные результаты исследования могут быть использованы практическими психологами для проведения дальнейшей работы с представителями различных религиозных конфессий, для формирования комфортной этнокультурной среды, способствуя сохранению и развитию этнокультурного и [религиозного многообразия|T37|TERM] народов РК.","T1 TERM религиозной идентичности
T2 TERM толерантности
T3 TERM межличностных отношениях
T4 TERM молодых казахстанцев
T5 TERM межличностной сфере
T6 TERM религиозных конфликтов
T7 TERM религиозной идентичности
T8 TERM толерантности
T9 TERM межличностных отношениях
T10 TERM молодых казахстанцев
T11 TERM религиозной идентичности
T12 TERM молодых казахстанцев
T13 TERM толерантности
T14 TERM религиозной идентичности
T15 TERM толерантности
T16 TERM казахстанской молодежи
T17 TERM гармоничности
T18 TERM дисгармоничности
T19 TERM опросник
T20 TERM религиозной идентичности
T21 TERM Измерение индивидуальных и социальных компонентов религиозной идентичности
T22 TERM религиозная идентичность
T23 TERM молодых казахстанцев
T24 TERM социальную направленность
T25 TERM молодых казахстанцев
T26 TERM толерантности
T27 TERM толерантность
T28 TERM личностную направленность
T29 TERM Индекс дисгармоничности
T30 TERM молодых казахстанцев
T31 TERM корреляционного анализа
T32 TERM толерантности
T33 TERM религиозной идентичности
T34 TERM молодых казахстанцев
T35 TERM социальных факторов
T36 TERM личных факторов
T37 TERM религиозного многообразия
","R1 HAS_PART Arg1:T5 Arg2:T3
R2 HAS_PART Arg1:T5 Arg2:T6
R3 HAS_CHARACTERISTIC Arg1:T4 Arg2:T2
R12 HAS_CHARACTERISTIC Arg1:T4 Arg2:T7
R6 HAS_USE Arg1:T1 Arg2:T19
R7 SUBCLASS_OF Arg1:T21 Arg2:T1
R8 HAS_CHARACTERISTIC Arg1:T1 Arg2:T24
R9 HAS_CHARACTERISTIC Arg1:T2 Arg2:T28
R10 HAS_CHARACTERISTIC Arg1:T31 Arg2:T29
R11 HAS_PART Arg1:T35 Arg2:T36
"
psy-3415-1-ru.txt,"Актуальность исследования спортивной мотивации связана с социально-экономической политикой государства, ориентированного как на развитие профессионального спорта, так и на развитие здорового образа жизни среди населения. Проблемное поле исследования спортивной мотивации задано сопоставлением структур мотивации спортсменов-профессионалов и спортсменов-любителей. Цель исследования: исследование особенностей мотивационной системы спортсменов в период подготовки к соревнованиям. В работе использовались 3 методики, которые соответствуют выделенным диагностическим единицам: методика «Изучение мотивов занятий спортом» В.И. Тропников; опросник «Мотивы спортивной деятельности» (МСД) Е.А. Калинин; тест жизнестойкости, адаптация Д.А. Леонтьева и Е.И. Рассказовой. Полученные результаты показали, что спорт как профессиональный, так и любительский предъявляет к спортсменам схожие требования, формируя высокий уровень жизнестойкости, однако, спортсмены-профессионалы и спортсмены-любители имеют разные мотивационные профили, влияющие на их реакции и поведение в период подготовки к соревнованиям, и эту специфику в мотивации важно учитывать в тренировочном процессе, для успешного выступления спортсменов на соревнованиях. Особенностью мотивационного профиля, отличающей спортсменов-профессионалов от спортсменов-любителей, выступает значимость мотивов поощрения, материальных благ, престижа и коллективистической направленности. Особенностью мотивационного профиля, отличающей спортсменов-любителей от спортсменов-профессионалов, выступает значимость мотивов физического совершенства и улучшения самочувствия и здоровья.","Актуальность исследования [спортивной мотивации|T1|TERM] связана с социально-экономической политикой государства, ориентированного как на развитие профессионального спорта, так и на развитие [здорового образа жизни|T2|TERM] среди населения. Проблемное поле исследования [спортивной мотивации|T3|TERM] задано сопоставлением структур [мотивации спортсменов-профессионалов|T4|TERM] и [спортсменов-любителей|T5|TERM]. Цель исследования: исследование особенностей [мотивационной системы спортсменов|T6|TERM] в период подготовки к соревнованиям. В работе использовались [3 методики|T7|VALUE], которые соответствуют выделенным [диагностическим единицам|T8|TERM]: [методика «Изучение мотивов занятий спортом»|T9|TERM] В.И. Тропников; [опросник «Мотивы спортивной деятельности»|T10|TERM] ([МСД|T11|TERM]) Е.А. Калинин; [тест жизнестойкости|T12|TERM], адаптация Д.А. Леонтьева и Е.И. Рассказовой. Полученные результаты показали, что спорт как профессиональный, так и любительский предъявляет к спортсменам схожие требования, формируя высокий [уровень жизнестойкости|T14|TERM], однако, [спортсмены-профессионалы|T15|TERM] и [спортсмены-любители|T16|TERM] имеют разные [мотивационные профили|T17|TERM], влияющие на их реакции и поведение в период подготовки к соревнованиям, и эту специфику в мотивации важно учитывать в тренировочном процессе, для успешного выступления спортсменов на соревнованиях. Особенностью [мотивационного профиля|T18|TERM], отличающей [спортсменов-профессионалов|T19|TERM] от [спортсменов-любителей|T20|TERM], выступает значимость мотивов поощрения, материальных благ, престижа и коллективистической направленности. Особенностью [мотивационного профиля|T21|TERM], отличающей [спортсменов-любителей|T22|TERM] от [спортсменов-профессионалов|T23|TERM], выступает значимость [мотивов физического совершенства|T24|TERM] и [улучшения самочувствия и здоровья|T25|TERM].","T1 TERM спортивной мотивации
T2 TERM здорового образа жизни
T3 TERM спортивной мотивации
T4 TERM мотивации спортсменов-профессионалов
T5 TERM спортсменов-любителей
T6 TERM мотивационной системы спортсменов
T7 VALUE 3 методики
T8 TERM диагностическим единицам
T9 TERM методика «Изучение мотивов занятий спортом»
T10 TERM опросник «Мотивы спортивной деятельности»
T11 TERM МСД
T12 TERM тест жизнестойкости
T14 TERM уровень жизнестойкости
T15 TERM спортсмены-профессионалы
T16 TERM спортсмены-любители
T17 TERM мотивационные профили
T18 TERM мотивационного профиля
T19 TERM спортсменов-профессионалов
T20 TERM спортсменов-любителей
T21 TERM мотивационного профиля
T22 TERM спортсменов-любителей
T23 TERM спортсменов-профессионалов
T24 TERM мотивов физического совершенства
T25 TERM улучшения самочувствия и здоровья
","R1 HAS_CHARACTERISTIC Arg1:T8 Arg2:T7
R2 SUBCLASS_OF Arg1:T9 Arg2:T8
R3 SUBCLASS_OF Arg1:T10 Arg2:T8
R4 SYNONYM Arg1:T10 Arg2:T11
R5 HAS_CHARACTERISTIC Arg1:T15 Arg2:T17
R6 HAS_CHARACTERISTIC Arg1:T5 Arg2:T17
R7 HAS_CHARACTERISTIC Arg1:T5 Arg2:T24
R8 HAS_CHARACTERISTIC Arg1:T5 Arg2:T25
R9 SUBCLASS_OF Arg1:T12 Arg2:T8
"
psy-3417-1-ru.txt,"Одной из острых проблем компаний на сегодняшний день является вопрос изучения повышения производительных возможностей, эффективности и трудовой мотивации в условиях разной степени сложности в коллективе. В данной статье авторы рассматривают процесс психологического «привыкания» к новым адаптивным условиям другой организации сотрудников, которой по обстоятельствам вынужденно пришлось объединяться. Исследование уровня удовлетворенности в связи с реорганизацией и изменением политики организации в новых экономических условиях и современными тенденциями и ее связи с результативностью «новых» прибывших сотрудников по совместительству дало авторам весьма интересные результаты. Авторы предполагают, что, в дальнейшем смогут помочь компаниям и организациям, и их сотрудникам подняться на новый уровень и быть результативными на рынке труда и бизнеса. Целью исследования явилась процедура изучения и влияния на самоощущение удовлетворения работой у сотрудников банка в состоянии непрерывного рабочего процесса без отрыва от организационных моментов. В данной статье авторами были проведены диагностические исследования (степень удовлетворенности персонала условиями труда и социально-психологическим климатом), а именно, компонентов, включающих определение уровня удовлетворенности персонала контактных центров Банка А и Банка Б приведена сравнительная таблица действующих на тот момент организационных условий, и определены принципы повышения уровня удовлетворенности персонала с учетом имеющихся материальных и человеческих ресурсов. Результатом данного исследования стала программа оптимизации производственных условий и социально-психологического климата персонала банка. Ценность исследования заключается в уникальности использования ситуации слияния двух банковских организаций для измерения уровня удовлетворенности сотрудников и поиска способов ее повышения. Включая процесс планирования интеграцию и обучение прибывших сотрудников, специалисты могут выстроить оптимальную модель комфортного слияния сотрудников в новые условия компании с ее выстроенной корпоративной культурой профессиональной деятельности, понизив тем самым уровень текучки кадров и не нарушая баланса, повысить психологический климат в коллективе. Новизной исследования стало малое количество эмпирических экспериментов по изучению уровня удовлетворенности персонала в казахстанских банках именно в период их слияния.","Одной из острых проблем компаний на сегодняшний день является вопрос изучения повышения [производительных возможностей|T1|TERM], [эффективности|T2|TERM] и [трудовой мотивации|T3|TERM] в условиях разной степени сложности в коллективе. В данной статье авторы рассматривают процесс [психологического «привыкания»|T4|TERM] к новым [адаптивным условиям|T5|TERM] другой организации сотрудников, которой по обстоятельствам вынужденно пришлось объединяться. Исследование [уровня удовлетворенности|T6|TERM] в связи с реорганизацией и изменением политики организации в новых экономических условиях и современными тенденциями и ее связи с результативностью «новых» прибывших сотрудников по совместительству дало авторам весьма интересные результаты. Авторы предполагают, что, в дальнейшем смогут помочь компаниям и организациям, и их сотрудникам подняться на новый уровень и быть результативными на рынке труда и бизнеса. Целью исследования явилась процедура изучения и влияния на [самоощущение|T7|TERM] [удовлетворения работой|T8|TERM] у сотрудников банка в состоянии непрерывного рабочего процесса без отрыва от организационных моментов. В данной статье авторами были проведены [диагностические исследования|T9|TERM] ([степень удовлетворенности|T10|TERM] персонала [условиями труда|T11|TERM] и [социально-психологическим климатом|T12|TERM]), а именно, компонентов, включающих определение [уровня удовлетворенности|T13|TERM] персонала контактных центров Банка А и Банка Б приведена сравнительная таблица действующих на тот момент [организационных условий|T14|TERM], и определены [принципы повышения уровня удовлетворенности|T15|TERM] персонала с учетом имеющихся материальных и [человеческих ресурсов|T16|TERM]. Результатом данного исследования стала [программа оптимизации|T17|TERM] [производственных условий|T18|TERM] и [социально-психологического климата|T19|TERM] персонала банка. Ценность исследования заключается в уникальности использования ситуации слияния двух банковских организаций для измерения [уровня удовлетворенности|T20|TERM] сотрудников и поиска способов ее повышения. Включая [процесс планирования|T21|TERM] [интеграцию|T22|TERM] и обучение прибывших сотрудников, специалисты могут выстроить оптимальную [модель комфортного слияния|T23|TERM] сотрудников в новые условия компании с ее выстроенной [корпоративной культурой|T24|TERM] [профессиональной деятельности|T25|TERM], понизив тем самым уровень текучки кадров и не нарушая баланса, повысить [психологический климат|T26|TERM] в коллективе. Новизной исследования стало малое количество [эмпирических экспериментов|T27|TERM] по изучению [уровня удовлетворенности|T28|TERM] персонала в казахстанских банках именно в период их слияния.","T1 TERM производительных возможностей
T2 TERM эффективности
T3 TERM трудовой мотивации
T4 TERM психологического «привыкания»
T5 TERM адаптивным условиям
T6 TERM уровня удовлетворенности
T7 TERM самоощущение
T8 TERM удовлетворения работой
T9 TERM диагностические исследования
T10 TERM степень удовлетворенности
T11 TERM условиями труда
T12 TERM социально-психологическим климатом
T13 TERM уровня удовлетворенности
T14 TERM организационных условий
T15 TERM принципы повышения уровня удовлетворенности
T16 TERM человеческих ресурсов
T17 TERM программа оптимизации
T18 TERM производственных условий
T19 TERM социально-психологического климата
T20 TERM уровня удовлетворенности
T21 TERM процесс планирования
T22 TERM интеграцию
T23 TERM модель комфортного слияния
T24 TERM корпоративной культурой
T25 TERM профессиональной деятельности
T26 TERM психологический климат
T27 TERM эмпирических экспериментов
T28 TERM уровня удовлетворенности
","R3 SUBCLASS_OF Arg1:T8 Arg2:T7
R5 HAS_CHARACTERISTIC Arg1:T11 Arg2:T10
R6 HAS_CHARACTERISTIC Arg1:T12 Arg2:T10
R1 HAS_CHARACTERISTIC Arg1:T14 Arg2:T13
R8 HAS_PART Arg1:T15 Arg2:T16
R9 SUBCLASS_OF Arg1:T11 Arg2:T14
R10 HAS_PART Arg1:T17 Arg2:T18
R11 HAS_PART Arg1:T17 Arg2:T12
R12 HAS_CHARACTERISTIC Arg1:T25 Arg2:T24
R13 HAS_USE Arg1:T24 Arg2:T23

"
psy-3419-3-ru.txt,"Увеличение количества бездетных пар в Казахстане – это актуальная проблема, которую Всемирная организация здравоохранения называет «государственным вопросом», так как количество бездетных людей в стране по медицинским показаниям негативно влияет на демографические показатели. Если раньше основной причиной бесплодия считалось женское бесплодие, то сегодня, по мнению специалистов, возникновение таких случаев напрямую связано с увеличением числа мужских бесплодий. В этом контексте важно изучить отношение общества к бездетной семье. В статье рассматривается использование метода свободной ассоциации при изучении отношения общества к бездетной семье. Цель исследования: анализ мнений казахстанцев (позитивных/негативных/нейтральных) в семьях, не имеющих детей, и представлений общества к понятиям «многодетная семья», «бездетная семья», «чайлдфри», «мужское здоровье», «женское здоровье» при изучении отношения общества к бездетным семьям через ассоциативный опыт с определением соответствующих характеристик ассоциаций на основе исследования является. Значимость исследовательской работы – состоит в том, что впервые в социологии исследование отношения общества к бездетной семье с использованием метода ассоциативного опыта. Основные результаты исследовательской работы: в результате ассоциативного экспериментального исследования в обществе социальная идея «бездетная семья», «чайлдфри» связана с низким качеством здоровья, негативными эмоциями, чувствами и состояниями в сознании людей; социальная идея «многодетная семья» определяется в повседневном сознании положительными эмоциями, чувствами и состояниями, возможностями многодетной семьи, повышенной ответственностью; понятия счастье в семье, «мужское здоровье», «женское здоровье» напрямую связаны с понятиями рождения детей. Практическая значимость исследования заключается в том, что использование ассоциативного опыта при изучении качественного разнообразия социальных смыслов и социальных проблем, а также для анализа ассоциаций использовался прототипический анализ П.Вержеса. Анализ прототипов в социологических исследованиях позволяет выявить структуру содержания социальных идей, в частности способы разделения систем ценностей на группы в режиме их применения.","Увеличение количества [бездетных пар|T1|TERM] в Казахстане – это актуальная проблема, которую Всемирная организация здравоохранения называет «государственным вопросом», так как количество [бездетных людей|T2|TERM] в стране по медицинским показаниям негативно влияет на [демографические показатели|T3|TERM]. Если раньше основной причиной [бесплодия|T4|TERM] считалось [женское бесплодие|T5|TERM], то сегодня, по мнению специалистов, возникновение таких случаев напрямую связано с увеличением числа [мужских бесплодий|T6|TERM]. В этом контексте важно изучить отношение общества к [бездетной семье|T7|TERM]. В статье рассматривается использование [метода свободной ассоциации|T8|TERM] при изучении отношения общества к [бездетной семье|T9|TERM]. Цель исследования: анализ мнений казахстанцев (позитивных/негативных/нейтральных) в семьях, не имеющих детей, и представлений общества к понятиям «[многодетная семья|T10|TERM]», «[бездетная семья|T11|TERM]», «[чайлдфри|T12|TERM]», «[мужское здоровье|T13|TERM]», «[женское здоровье|T14|TERM]» при изучении отношения общества к [бездетным семьям|T15|TERM] через [ассоциативный опыт|T16|TERM] с определением соответствующих характеристик ассоциаций на основе исследования является. Значимость исследовательской работы – состоит в том, что впервые в социологии исследование отношения общества к [бездетной семье|T17|TERM] с использованием [метода ассоциативного опыта|T18|TERM]. Основные результаты исследовательской работы: в результате [ассоциативного экспериментального исследования|T19|TERM] в обществе социальная идея «[бездетная семья|T20|TERM]», «[чайлдфри|T21|TERM]» связана с [низким качеством здоровья|T22|TERM], [негативными эмоциями|T23|TERM], чувствами и состояниями в сознании людей; социальная идея «[многодетная семья|T24|TERM]» определяется в повседневном сознании [положительными эмоциями|T25|TERM], чувствами и состояниями, возможностями [многодетной семьи|T26|TERM], [повышенной ответственностью|T27|TERM]; понятия [счастье|T28|TERM] в семье, «[мужское здоровье|T29|TERM]», «[женское здоровье|T30|TERM]» напрямую связаны с понятиями [рождения детей|T31|TERM]. Практическая значимость исследования заключается в том, что использование [ассоциативного опыта|T32|TERM] при изучении качественного разнообразия социальных смыслов и социальных проблем, а также для [анализа ассоциаций|T33|TERM] использовался [прототипический анализ|T34|TERM] П.Вержеса. [Анализ прототипов|T35|TERM] в социологических исследованиях позволяет выявить структуру содержания [социальных идей|T36|TERM], в частности способы разделения [систем ценностей|T37|TERM] на группы в режиме их применения.","T1 TERM бездетных пар
T2 TERM бездетных людей
T3 TERM демографические показатели
T4 TERM бесплодия
T5 TERM женское бесплодие
T6 TERM мужских бесплодий
T7 TERM бездетной семье
T8 TERM метода свободной ассоциации
T9 TERM бездетной семье
T10 TERM многодетная семья
T11 TERM бездетная семья
T12 TERM чайлдфри
T13 TERM мужское здоровье
T14 TERM женское здоровье
T15 TERM бездетным семьям
T16 TERM ассоциативный опыт
T17 TERM бездетной семье
T18 TERM метода ассоциативного опыта
T19 TERM ассоциативного экспериментального исследования
T20 TERM бездетная семья
T21 TERM чайлдфри
T22 TERM низким качеством здоровья
T23 TERM негативными эмоциями
T24 TERM многодетная семья
T25 TERM положительными эмоциями
T26 TERM многодетной семьи
T27 TERM повышенной ответственностью
T28 TERM счастье
T29 TERM мужское здоровье
T30 TERM женское здоровье
T31 TERM рождения детей
T32 TERM ассоциативного опыта
T33 TERM анализа ассоциаций
T34 TERM прототипический анализ
T35 TERM Анализ прототипов
T36 TERM социальных идей
T37 TERM систем ценностей
","R1 SUBCLASS_OF Arg1:T1 Arg2:T2
R2 SUBCLASS_OF Arg1:T5 Arg2:T4
R3 SUBCLASS_OF Arg1:T6 Arg2:T4
R4 HAS_USE Arg1:T8 Arg2:T7
R5 HAS_USE Arg1:T16 Arg2:T7
R6 HAS_USE Arg1:T18 Arg2:T7
R7 HAS_CHARACTERISTIC Arg1:T7 Arg2:T22
R8 HAS_CHARACTERISTIC Arg1:T7 Arg2:T23
R9 HAS_CHARACTERISTIC Arg1:T10 Arg2:T25
R10 HAS_CHARACTERISTIC Arg1:T10 Arg2:T27
R11 HAS_CHARACTERISTIC Arg1:T31 Arg2:T13
R12 HAS_CHARACTERISTIC Arg1:T31 Arg2:T14
R13 HAS_USE Arg1:T16 Arg2:T33
R14 HAS_USE Arg1:T34 Arg2:T33
R15 HAS_PART Arg1:T37 Arg2:T36
"
